Annotasyon,Column_4,Column_6,Halimbawa,Larawan,No.,PDFページ番号,PDF表番号,Paano Magbasa,Pagsasalin,Palatandaan,Talasalitaan
,,"Magmaneho ng makinang
pangkonstruksyon","けんせつき か い うんてん
建設機械を運転する",,6,42,1,うんてん（する）,"pagmamaneho /
magmaneho",,運転（する）
,,Sukatin ang haba ng reinforcing bar,"てっきん なが はか
鉄筋の長さを測る",,7,42,1,はかる,sukatin,,測る
,,Mag-operate ng makina,"き か い そ う さ
機械を操作する",,8,42,1,そうさ（する）,operasyon / mag-operate,,操作（する）
,,,,,9,42,1,ていし（する）,pag-tigil / itigil,,停止（する）
,,"Patayin ang makina, putulin ang
reinfocing bar","き てっきん き
エンジンを切る、鉄筋を切る",,10,42,1,きる,"patayin, putulin",,切る
,,,,,11,42,1,まわす,paikutin,,回す
,,,,,12,42,1,おす,pindutin,,押す
,,,,,13,42,1,あつめる,kolektahin,,集める
,,,,,14,42,1,さわる,hawakan,,触る
,,,,,15,42,1,しばる,bigkisin,,縛る
,,"Tipunin ayon sa haba ng reinforcing
bar","てっきん なが そろ
鉄筋の長さを揃える",,16,42,1,そろえる,tipunin,,揃える
,,"Pagsamahin ang materyales at itali
gamit ang tali","ざいりょう むす
材料をまとめてひもで結ぶ",,17,42,1,むすぶ,itali,,結ぶ
,,,,,18,42,1,しゃがむ,yumukyok / squat,,しゃがむ
,,,,,19,42,1,ちょうせい（する）,pag-adjust / i-adjust,,調整（する）
,,,,,20,42,1,とじる,pagsara / isara,,閉じる
,,,,,1,43,1,とりだす,ilabas / take out,,取り出す
,,"Ibalik ang mga ginamit na kagamitan
sa dating lugar","つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",,2,43,1,もどす,ibalik,,戻す
,,,,,3,43,1,しあげる,tapusin,,仕上げる
,,Mabali ang pako,"くぎ お
釘が折れる",,4,43,1,おれる,mabali,,折れる
,,May bingas sa blade ng circular saw,"まる は か
丸のこの刃が欠ける",,5,43,1,かける,magkulang,,欠ける
,,"Huwag lumapit sa mabigat na makina
habang nagtatrabaho","さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",,6,43,1,ちかづく,lumapit,,近づく
,,,,,7,43,1,でんげんをいれる,i-on,,電源を入れる
,,,,,8,43,1,でんげんをおとす,i-off,,電源を落とす
,,,,,9,43,1,すいっちをきる,i-off ang switch,,スイッチを切る
,,,,,10,43,1,こてい（する）,pirmi / ipirmi,,固定（する）
,,Luwagin ang tornilyo,ボルトをゆるめる,,11,43,1,ゆるめる,luwagin,,ゆるめる
,,,,,12,43,1,のばす,pahabain / extend,,伸ばす
,,Tanggalin ang takip na pangkaligtasan,"あんぜん はず
安全カバーを外す",,13,43,1,はずす,tanggalin,,外す
,,Baluktutin ang reinforcing bar,,,14,43,1,まげる,baluktutin,,曲げる
,,,鉄筋を曲げる,,15,43,1,だす,ilabas,,出す
,,,,,16,43,1,かわかす,patuyuin,,乾かす
,,,,,17,43,1,かぞえる,bilangin,,数える
,,,,,18,43,1,はこぶ,dalhin,,運ぶ
,,"Itambak ang mga materyales sa
paraang hindi maguguho","ざいりょう つ
材料をくずれないように積む",,19,43,1,つむ,itambak,,積む
,,Ibaba ang karga mula sa truck bed,"に だ い に も つ お
トラックの荷台から荷物を下ろす",,20,43,1,おろす,ibaba,,下ろす
,,,,,21,43,1,はなれる,lumayo,,離れる
,,,,,1,44,1,いち,posisyon,,位置
,,,,,2,44,1,すんぽう,dimensyon,,寸法
,,,,,3,44,1,そくてい（する）,pagsukat / magsukat,,測定（する）
,,,,,4,44,1,けいそく（する）,pagsukat / magsukat,,計測（する）
,,,,,5,44,1,けいそくき,instrumentong pangsukat,,計測器
,,,,,6,44,1,おんど,temperatura,,温度
,,,,,7,44,1,たかさ,taas,,高さ
,,,,,8,44,1,ながさ,haba,,長さ
,,,,,9,44,1,おもさ,bigat,,重さ
,,,,,10,44,1,あつさ,kapal,,厚さ
,,,,,11,44,1,かたさ,tigas,,硬さ
,,,,,12,44,1,ふかさ,lalim,,深さ
,,,,,13,44,1,ひょうめん,ibabaw (surface),,表面
,,,,,14,44,1,すきま,siwang,,すきま
,,,,,15,44,1,ちゅうしん,sentro,,中心
,,,,,16,45,1,あたい,halaga (numero),,値
,,,,,17,45,1,あんてい（する）,katatagan / itatag,,安定（する）
,,,,,18,45,1,おおきさ,laki (size),,大きさ
,,,,,19,45,1,かず,bilang,,数
,,,,,20,45,1,ごさ,pagkakamali (error),,誤差
,,,,,21,45,1,なか,gitna,,中
,,,,,22,45,1,はんたい,kasalungat,,反対
,,,,,23,45,1,まわり,paligid,,周り
1 shaku ≒30.3 cm,,,,,24,45,1,しゃく,shaku (unit ng pagsukat),,尺
,,,,,25,45,1,あお,asul,,青
,,,,,26,45,1,あか,pula,,赤
,,,,,27,45,1,しろ,puti,,白
,,,,,28,45,1,きいろ,dilaw,,黄色
