Annotasyon,Anotasi,Cara membaca (Hiragana),Column_4,Column_6,Contoh,Foto,Kosakata,No.,PDFページ番号,PDF表番号,Tanda,Terjemahan
,,うんてん（する）,,mengemudi mesin konstruksi.,"けんせつき か い うんてん
建設機械を運転する",,運転（する）,6,42,1,,Kemudi (Mengemudi)
,,はかる,,"mengukur panjangnya tulangan
baja.","てっきん なが はか
鉄筋の長さを測る",,測る,7,42,1,,Mengukur
,,そうさ（する）,,mengoperasikan mesin.,"き か い そ う さ
機械を操作する",,操作（する）,8,42,1,,Operasi (Mengoperasikan)
,,ていし（する）,,,,,停止（する）,9,42,1,,Henti (Menghentikan)
,,きる,,"mematikan mesin, memotong
tulangan baja.","き てっきん き
エンジンを切る、鉄筋を切る",,切る,10,42,1,,Memotong
,,まわす,,,,,回す,11,42,1,,Memutar
,,おす,,,,,押す,12,42,1,,Mendorong
,,あつめる,,,,,集める,13,42,1,,Mengumpulkan
,,さわる,,,,,触る,14,42,1,,Menyentuh
,,しばる,,,,,縛る,15,42,1,,Mengikat
,,そろえる,,"menyama-ratakan panjangnya
tulangan baja.","てっきん なが そろ
鉄筋の長さを揃える",,揃える,16,42,1,,Menyamaratakan
,,むすぶ,,"menyatukan bahan, mengikatnya
dengan tali.","ざいりょう むす
材料をまとめてひもで結ぶ",,結ぶ,17,42,1,,Mengikat
,,しゃがむ,,,,,しゃがむ,18,42,1,,Berjongkok
,,ちょうせい（する）,,,,,調整（する）,19,42,1,,"Penyesuaian
(Menyesuaikan)"
,,とじる,,,,,閉じる,20,42,1,,Menutup
,,とりだす,,,,,取り出す,1,43,1,,Mengeluarkan
,,もどす,,"Mengembalikan alat ke tempat
semula.","つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",,戻す,2,43,1,,Mengembalikan
,,しあげる,,,,,仕上げる,3,43,1,,Menyelesaikan
,,おれる,,Paku nya patah.,"くぎ お
釘が折れる",,折れる,4,43,1,,Patah
,,かける,,Pisau gergaji besi sumbing.,"まる は か
丸のこの刃が欠ける",,欠ける,5,43,1,,Sumbing (Patah)
,,ちかづく,,"Jangan mendekati alat berat saat
kerja.","さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",,近づく,6,43,1,,Mendekat
,,でんげんをいれる,,,,,電源を入れる,7,43,1,,Menghidupkan listrik
,,でんげんをおとす,,,,,電源を落とす,8,43,1,,Mematikan listrik
,,すいっちをきる,,,,,スイッチを切る,9,43,1,,Mematikan saklar
,,こてい（する）,,,,,固定（する）,10,43,1,,Fiksasi (Menguatkan)
,,ゆるめる,,Mengendurkan baut.,ボルトをゆるめる,,ゆるめる,11,43,1,,Mengendurkan
,,のばす,,,,,伸ばす,12,43,1,,Memanjangkan
,,はずす,,Melepas tutup pengaman.,"あんぜん はず
安全カバーを外す",,外す,13,43,1,,Melepas
,,まげる,,Membengkokkan tulangan baja.,"てっきん ま
鉄筋を曲げる",,曲げる,14,43,1,,Membengkokkan
,,だす,,,,,出す,15,43,1,,Mengeluarkan
,,かわかす,,,,,乾かす,16,43,1,,Mengeringkan
,,かぞえる,,,,,数える,17,43,1,,Menghitung
,,はこぶ,,,,,運ぶ,18,43,1,,Membawa
,,つむ,,"Menumpuk material agar tidak
roboh.","ざいりょう つ
材料をくずれないように積む",,積む,19,43,1,,Menumpuk
,,おろす,,Menurunkan barang dari bak truk.,"に だ い に も つ お
トラックの荷台から荷物を下ろす",,下ろす,20,43,1,,Menurunkan
,,はなれる,,,,,離れる,21,43,1,,Menjauhi
,,いち,,,,,位置,1,44,1,,Posisi
,,すんぽう,,,,,寸法,2,44,1,,Ukuran
,,そくてい（する）,,,,,測定（する）,3,44,1,,Pengukuran (Mengukur)
,,けいそく（する）,,,,,計測（する）,4,44,1,,Takar (Menakar)
,,けいそくき,,,,,計測器,5,44,1,,Alat ukur
,,おんど,,,,,温度,6,44,1,,Suhu
,,たかさ,,,,,高さ,7,44,1,,Ketinggian
,,ながさ,,,,,長さ,8,44,1,,Panjang
,,おもさ,,,,,重さ,9,44,1,,Berat
,,あつさ,,,,,厚さ,10,44,1,,Ketebalan
,,かたさ,,,,,硬さ,11,44,1,,Kekerasan
,,ふかさ,,,,,深さ,12,44,1,,Kedalaman
,,ひょうめん,,,,,表面,13,44,1,,Permukaan
,,すきま,,,,,すきま,14,44,1,,Celah
,,ちゅうしん,,,,,中心,15,44,1,,Pusat/Tengah
,,あたい,,,,,値,16,45,1,,Nilai
,,あんてい（する）,,,,,安定（する）,17,45,1,,Stabil (Menstabilkan)
,,おおきさ,,,,,大きさ,18,45,1,,Besarnya
,,かず,,,,,数,19,45,1,,Banyak/Jumlah
,,ごさ,,,,,誤差,20,45,1,,Selisih
,,なか,,,,,中,21,45,1,,Dalam
,,はんたい,,,,,反対,22,45,1,,Terbalik/Berlawanan
,,まわり,,,,,周り,23,45,1,,Sekitar
,1 Shaku = 30.3cm,しゃく,,,,,尺,24,45,1,,"30,3 sentimeter"
,,あお,,,,,青,25,45,1,,Biru
,,あか,,,,,赤,26,45,1,,Merah
,,しろ,,,,,白,27,45,1,,Putih
,,きいろ,,,,,黄色,28,45,1,,Warna kuning
