Biển báo,Chú thích,Column_4,Column_6,Cách đọc (Hiragana),Dịch,PDFページ番号,PDF表番号,Số,Từ vựng,Ví dụ câu,Ảnh
,,,,みずもれ,Rò rỉ nước,42,1,4,水漏れ,,
,,,,あぶらもれ,Rò rỉ dầu,42,1,5,油漏れ,,
,,,,れいきゃくすい,Nước làm mát,42,1,6,冷却水,,
,,,,ぶれーきえき,Chất lỏng phanh,42,1,7,ブレーキ液,,
,,,,ねんりょうたんく,Thùng nhiên liệu,42,1,8,燃料タンク,,
,,,,ふぁんべると,Dây đai quạt,42,1,9,ファンベルト,,
,,,,くうきあつ,Áp suất khí,42,1,10,空気圧,,
,,,,くらっち,Khớp li hợp,42,1,11,クラッチ,,
,,,"Khi muốn dừng máy thì để chạy không
tải trước rồi mới dừng",きゅうはっしん,Tiến đột ngột,42,1,12,急発進,,
,,,,きゅうぶれーき,Phanh đột ngột,42,1,13,急ブレーキ,,
,,,"Khi muốn dừng máy thì để chạy không
tải trước rồi mới dừng",あいどりんぐ,"Chạy không tải, chạy cầm
chừng",43,1,14,アイドリング,"て い し
エンジンを停止するときはアイドリング
と
したあとに止める",
,,,,そうこう,Chạy,43,1,15,走行,,
,,,,せんかい,Đi vòng tròn,43,1,16,旋回,,
,,,,あんぜんろっく,Khóa an toàn,43,1,17,安全ロック,,
,,,,あんぜんしちゅう,Cột chống an toàn,43,1,18,安全支柱,,
,,,"Không được bổ sung nhiên liệu trong
khi vẫn để động cơ chạy",ほきゅう,(danh từ) Sự bổ sung,43,1,19,補給（する）,"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",
,,,,ほきゅうする,(động từ) Bổ sung,43,1,,,,
,,,,ちゅうしゃ,(danh từ) Sự đỗ xe,43,1,20,駐車（する）,,
,,,,ちゅうしゃする,(động từ) Đỗ xe,43,1,,,,
,,,,ほこうしゃ,Người đi bộ,43,1,21,歩行者,,
,,,,しゃりょう,Xe,43,1,22,車両,,
,Chỗ không nhìn thấy,,,しかく,Góc chết,43,1,23,死角,,
,,,Leo dốc núi,しゃめん,Dốc,43,1,24,斜面,"やま の しゃめん のぼ
山の斜面を上る",
,,,Dùng xe lu để đẩm,てんあつ,(danh từ) Sự đầm nén,43,1,25,転圧（する）,"てんあつさぎょう
ローラで転圧作業をする",
,,,,てんあつする,(động từ) Đầm nén,43,1,,,,
,"(danh từ) Sự va chạm, tiếp xúc",,"Va chạm với máy hạng nặng và bị
thương",せっしょく（する）,"(danh từ) Sự va chạm, tiếp
xúc",44,1,1,接触（する）,"じゅうき せっしょく
重機に接触してけがをする",
,"(động từ) Va chạm, tiếp xúc",,,,"(động từ) Va chạm, tiếp xú
c",44,1,,,,
,(danh từ) Sự kích hoạt,,Máy báo cháy kích hoạt,さどう（する）,(danh từ) Sự kích hoạt,44,1,2,作動（する）,"か さ い ほ う ち き さ ど う
火災報知器が作動する",
,(động từ) Kích hoạt,,,,(động từ) Kích hoạt,44,1,,,,
,(danh từ) Sự bảo dưỡng,,Bảo dưỡng xe,せいび（する）,(danh từ) Sự bảo dưỡng,44,1,3,整備（する）,"しゃりょう せ い び
車両の整備をする",
,(động từ) Bảo dưỡng,,,,(động từ) Bảo dưỡng,44,1,,,,
,(danh từ) Kiểm tra,,Kiểm tra dụng cụ trước khi làm việc,てんけん（する）,(danh từ) Kiểm tra,44,1,4,点検（する）,"さぎょうまえ こ う ぐ てんけん
作業前に工具を点検する",
,(động từ) Kiểm tra,,,,(động từ) Kiểm tra,44,1,,,,
,Vận hành,,Vận hành máy,うごかす,Vận hành,44,1,5,動かす,"き か い うご
機械を動かす",
,"(danh từ) Vận hành, lái",,Vận hành máy móc xây dựng,うんてん（する）,"(danh từ) Vận hành, lái",44,1,6,運転（する）,"けんせつき か い うんてん
建設機械を運転する",
,"(động từ) Vận hành, lái",,,,"(động từ) Vận hành, lái",44,1,,,,
,Đo,,Đo chiều dài cốt thép,はかる,Đo,44,1,7,測る,"てっきん なが はか
鉄筋の長さを測る",
,(danh từ) Sự điều khiển,,Điều khiển máy,そうさ（する）,(danh từ) Sự điều khiển,44,1,8,操作（する）,"き か い そ う さ
機械を操作する",
,(động từ) Điều khiển,,,,(động từ) Điều khiển,44,1,,,,
,"(danh từ) Sự dừng, ngừng",,,ていし（する）,"(danh từ) Sự dừng, ngừng",45,1,9,停止（する）,,
,"(động từ) Dừng, ngừng",,,,"(động từ) Dừng, ngừng",45,1,,,,
,,,Tắt động cơ. Cắt cốt thép,きる,"Tắt, cắt",45,1,10,切る,"き てっきん き
エンジンを切る、鉄筋を切る",
,,,,まわす,"Quay, xoay",45,1,11,回す,,
,,,,おす,"Ấn, bấm",45,1,12,押す,,
,,,,あつめる,"Tập trung, gom",45,1,13,集める,,
,,,,さわる,"Chạm, sờ",45,1,14,触る,,
,,,,しばる,"Bó, buộc",45,1,15,縛る,,
,,,Xếp đều các thanh cốt thép theo độ dài,そろえる,Xếp đều,45,1,16,揃える,"てっきん なが そろ
鉄筋の長さを揃える",
,,,Gom vật liệu lại và buộc bằng dây,むすぶ,"Nối, buộc",45,1,17,結ぶ,"ざいりょう むす
材料をまとめてひもで結ぶ",
,,,,しゃがむ,Ngồi xổm,45,1,18,しゃがむ,,
,,,,ちょうせい（する）,(danh từ) Sự điều chỉnh,45,1,19,調整（する）,,
,,,,,(động từ) Điều chỉnh,45,1,,,,
,,,,とじる,Đóng,45,1,20,閉じる,,
,,,,とりだす,Lấy ra,46,1,1,取り出す,,
,,,Để những dụng cụ đã dùng về chỗ cũ,もどす,Để lại chỗ cũ,46,1,2,戻す,"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",
,,,,しあげる,Hoàn thiện,46,1,3,仕上げる,,
,,,Đinh gẫy,おれる,Gẫy,46,1,4,折れる,"くぎ お
釘が折れる",
,,,Lưỡi cưa máy bị mẻ,かける,"Mẻ, khuyết, thiếu",46,1,5,欠ける,"まる は か
丸のこの刃が欠ける",
,,,"Không đến gần máy móc hạng nặng đ
ang làm việc",ちかづく,Đến gần,46,1,6,近づく,"さぎょうちゅう じゅうき ちか
作業中の重機に近づかない",
,,,,でんげんをいれる,Bật nguồn điện,46,1,7,電源を入れる,,
,,,,でんげんをおとす,Tắt nguồn điện,46,1,8,電源を落とす,,
,,,,すいっちをきる,Tắt công tắc,46,1,9,スイッチを切る,,
,,,,こてい（する）,(danh từ) Sự cố định,46,1,10,固定（する）,,
,,,,,(động từ) Cố định,46,1,,,,
,,,Nới lỏng bu lông,ゆるめる,Nới lỏng,46,1,11,ゆるめる,ボルトをゆるめる,
,,,,のばす,"Cán, kéo dài",46,1,12,伸ばす,,
,,,Tháo vỏ bọc an toàn,はずす,"Tháo, gỡ ra",46,1,13,外す,"あんぜん はず
安全カバーを外す",
,,,Uốn thanh cốt thép,まげる,Uốn,46,1,14,曲げる,"てっきん ま
鉄筋を曲げる",
,,,,だす,Lấy ra,46,1,15,出す,,
,,,,かわかす,"Làm khô, sấy khô",46,1,16,乾かす,,
,,,,かぞえる,"Chỉ bảo, dạy",46,1,17,数える,,
,,,,はこぶ,Vận chuyển,46,1,18,運ぶ,,
,,,Xếp vật liêu sao cho không đổ,つむ,"Xếp, chất",46,1,19,積む,"ざいりょう つ
材料をくずれないように積む",
,,,Dỡ hàng từ thùng xe tải xuống,おろす,"Dỡ xuống, hạ xuống",46,1,20,下ろす,"に だ い に も つ お
トラックの荷台から荷物を下ろす",
,,,,はなれる,"Rời xa, tránh",46,1,21,離れる,,
,,,,いち,Vị trí,47,1,1,位置,,
,,,,すんぽう,Kích thước,47,1,2,寸法,,
,,,,そくてい（する）,(danh từ) Sự đo đạc,47,1,3,測定（する）,,
,,,,,(động từ) Đo đạc,47,1,,,,
,,,,けいそく（する）,(danh từ) Sự đo lường,47,1,4,計測（する）,,
,,,,,(động từ) Đo lường,47,1,,,,
,,,,けいそくき,Máy đo lường,47,1,5,計測器,,
,,,,おんど,Nhiệt độ,47,1,6,温度,,
,,,,たかさ,Chiều cao,47,1,7,高さ,,
,,,,ながさ,Chiều dài,47,1,8,長さ,,
,,,,おもさ,Cân nặng,47,1,9,重さ,,
,,,,あつさ,Chiều dày,47,1,10,厚さ,,
,,,,かたさ,Độ cứng,47,1,11,硬さ,,
,,,,ふかさ,Độ sâu,47,1,12,深さ,,
,,,,ひょうめん,Bề mặt,47,1,13,表面,,
,,,,すきま,Khe hở,47,1,14,すきま,,
,,,,ちゅうしん,"Trung tâm, chính giữa",47,1,15,中心,,
,,,,あたい,Giá trị,48,1,16,値,,
,,,,あんてい（する）,(danh từ) Sự ổn định,48,1,17,安定（する）,,
,,,,,(động từ) Ổn định,48,1,,,,
,,,,おおきさ,Độ lớn,48,1,18,大きさ,,
,,,,かず,Số lượng,48,1,19,数,,
,,,,ごさ,Sai số,48,1,20,誤差,,
,,,,なか,"Trung bình, vừa",48,1,21,中,,
,,,,はんたい,Ngược lại,48,1,22,反対,,
,,,,まわり,Xung quanh,48,1,23,周り,,
,"1 thước = 30,3 cm",,,しゃく,Thước,48,1,24,尺,,
,,,,あお,Xanh,48,1,25,青,,
,,,,あか,Đỏ,48,1,26,赤,,
,,,,しろ,Trắng,48,1,27,白,,
,,,,きいろ,Vàng,48,1,28,黄色,,
