ja,en,fil-PH,pt,es,pt-BR,zh,ko,fr,hi,th,vi,my,ne,bn,id,ta,si,mn,ar,fa,tr,ru,ur,km,lo,ms,de,hu,cs,pl,nl,da,fi,sv,lb,af,fr-CA,翻訳言語数
立入禁止,DO NOT ENTER,Bawal Pumasok,,,,禁止入内,,,,หา้ มเขา้,Cấm vào,မဝငရ်,,,Dilarang masuk,,,,,,,,,ហាមចូល,,,,,,,,,,,,,,8
禁煙,NO SMOKING,Bawal Manigarilyo,,,,禁止吸烟,,,,หา้ มสบู บหุ รี่,Cấm hút thuốc,သဆ်းလပှိ ်မသသာကရ်,,,Dilarang merokok,,,,,,,,,ហាមជក់បារី,,,,,,,,,,,,,,8
駐車禁止,NO PARKING,Bawal Pumarada,,,,禁止停车,,,,หา้ มจอดรถ,Cấm đỗ xe,ကာ်းမရပ်ရ,,,Dilarang parkir,,,,,,,,,ហាមចត,,,,,,,,,,,,,,8
足もと注意,WATCH YOUR STEP,Ingatan ang Hakbang!,,,,注意脚下,,,,ระวงั สะดดุ,Chú ý dưới chân,သခ သထာကအ် န်း တဝှိုက် သတခှိပြုံ,,,Awas langkah kaki,,,,,,,,,ប្បយ័តនប ៉ះភជើង,,,,,,,,,,,,,,8
開口部注意,DANGER OPEN HOLE,Mapanganib: May Butas sa Sahig,,,,当心开口处,,,,ระวงั ชอ่ งเปิด,Chú ý lỗ mở,အသပါကရ် ှိ သညသ် တခှိပြုံ,,,Awas ada lubang,,,,,,,,,ប្បយ័តនផ្ននកភបើកចំហ,,,,,,,,,,,,,,8
感電注意,DANGER ELECTRIC SHOCK RISK,Mapanganib: May Kuryente,,,,当心触电,,,,ระวงั อันตรายจากไฟฟ้า ช็อต,Chú ý điện giật,ဓာတလ် ကှို တ် တသ် ည် သတခှိပြုံ,,,Awas bahaya sengatan listrik,,,,,,,,,ប្បយ័តនឆក់,,,,,,,,,,,,,,8
堕落注意,DANGER FALL HAZARD(cid:9),Mapanganib: May Maaaring Bumagsak,,,,当心坠落,,,,ระวงั ตกจากทสี่ งู,Chú ý rơi ngã,ခပြုံတက် တတသ် ည် သတခှိပြုံ,,,Awas jatuh terpeleset,,,,,,,,,ប្បយ័តនធ្លល ក់,,,,,,,,,,,,,,8
頭上注意,WATCH YOUR HEAD,Ingatan ang Ulo!,,,,当心头顶,,,,ระวงั ศรี ษะ,Chú ý trên đầu,သ ါင်း် အသပေါ်သတထှိ ာ်းပါ,,,Awas bagian atas kepala,,,,,,,,,ប្បយ័តនភលើកាល,,,,,,,,,,,,,,8
警報設備,ALARM SYSTEM,Sistemang Pang-alarma,,,,警报设备,,,,อปุ กรณ์สญั ญาณเตอื นภัย ป่มุ ขอความชว่ ยเหลอื,Thiết bị báo động,သတသှိ ပ်းသ ါင်း် သလာင်း် သနရာ,,,Peralatan Tanda Bahaya （Alarm）,,,,,,,,,កផ្លលងចុចប្បកាសអាសលន,,,,,,,,,,,,,,8
AED設置場所,AED INSIDE,May Nakahandang AED,,,,AED（自动体外除颤器） 设置点,,,,จดุ ตดิ ตัง้ เครอิ่ งกระตกุ หวั ใจอัตโนมัติ,Nơi đặt máy AED,န္လ ်း ု န္်းှိှု စကထ် ာ်းသညသ်ဲ့ နရာ,,,Tempat Instalasi peralatan AED,,,,,,,,,ទីតងំ បំពាកA់ ED,,,,,,,,,,,,,,8
保護帽着用,WEAR SAFETY HELMET,Magsuot ng Helmet,,,,必须带安全帽,,,,สวมหมวกนริ ภัย,Đội mũ bảo hộ,ကာကယွ သ် ရ်းဥ ်းထပု ် သဆာင်း် ပါ,,,Gunakan topi pelindung,,,,,,,,,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់),,,,,,,,,,,,,,8
安全帯使用,WEAR SAFETY HARNESS,Magsuot ng Sinturong Pangkaligtasan,,,,必须系安全带,,,,สวมสายรัดตัวนริ ภัยกันตก,Sử dụng dây đai an toàn,လခ ု ြုံ ‌သရ်း ါ်းပတက်ကြုံှိ်းသ်း ု ပါ,,,Gunakan Sabuk Pengaman,,,,,,,,,ភប្បើផ្សែប្កវ៉ាត់សុវតថិភាព,,,,,,,,,,,,,,8
昇降階段,STAIRWAY,Hagdanan na Pang- Scaffolding,,,,上下楼梯,,,,บันไดขนึ้ ลง,Cầu thang bộ,ခငမ််းအတငွ ်း် ရှိ သလက ာ်း,,,Tangga naik turun,,,,,,,,,ជភ្តើរភ ើងចុ៉ះ,,,,,,,,,,,,,,8
休憩所,BREAK AREA,Pahingahan,,,,休息区,,,,หอ้ งนั่งพัก,Khu vực nghỉ ngơi,နာ်းသနရနသ် နရာ,,,Tempat istirahat,,,,,,,,,កផ្លលងសប្ាក,,,,,,,,,,,,,,8
最大積載荷重,MAXIMUM LOAD CAPACITY,Maximum na kapasidad sa pag-load,,,,最大载荷,,,,รับน ้าหนักไดส้ งู สดุ,Tải trọng tối đa,အမ ာ်းဆ်း ု တငန္် ငှို သ် ည ်ဲ့ ကနု အ် သလ်း ှိန်,,,Kapasitas berat beban maksimum,,,,,,,,,សមតថភាពនទកុ អតិបរា,,,,,,,,,,,,,,8
喫煙所,SMOKING AREA,Lugar para sa Paninigarilyo,,,,吸烟处,,,,ทพี่ ักสบู บหุ รี่,Khu vực hút thuốc,သဆ်းလပှိ ်သသာကရ် နသ် နရာ,,,Dilarang merokok,,,,,,,,,កផ្លលងជក់បារី,,,,,,,,,,,,,,8
整理整頓,KEEP IN ORDER,Panatilihing Maayos,,,,整理整顿,,,,"สะสาง สะดวก, ซอ้ นใหถ้ กู ตอ้ งสะดวกใช้ ปลอดภัย",Sắp xếp chỉnh đốn,သနရ် ဲ့ င်း် သပ်ရပ်သနသအာင် အစ အစဥ်တက လပု ်ပါ,,,Rapikan dengan teratur,,,,,,,,,ភរៀបចំ សណ្តត ប់ធ្លន ប់,,,,,,,,,,,,,,8
安全通路,SAFETY PASSAGE,Ligtas na Daanan / Safety Passage,,,,安全通道,,,,ทางเดนิ ปลอดภัย,Lối đi an toàn,အန္ရတ ာယက် င်း် သည်ဲ့ သလျှာကလ် မ််းသကကာင်း်,,,Jalur aman,,,,,,,,,នល វូ សុវតថិភាព,,,,,,,,,,,,,,8
三連クランプ,Triple clamp,triple clamp,,,,三连夹板、三连杆夹钳,,,,"ชุดข้อสือ 3 ห่วงติดกัน, ชุดแคลมป์ข้อเสือ 3 ห่วงติดกัน",Kẹp ba,ြှ ၃ ဆု ကည် ပ်,,,Klam tripel.,,,,,,,,,ដង(cid:544)៣(cid:814)(cid:671)(cid:572)ំ ប់(cid:545)(cid:645),,,,,,,,,,,,,,8
ベルトコンベア （ベルコン）,Conveyor belt,belt conveyor,,,,传送带,,,,สายพานลําเลียง,Băng tải (gọi tắt là Berukon),သရွွဲ့လ ာ်းစက ် ါ်းပတ် (Belt conveyor),,,Konveyor sabuk (Ban berjalan),,,,,,,,,ែខ(cid:717)បន(cid:635)ះយន(cid:625),,,,,,,,,,,,,,8
かけや,Wooden mallet,maso,,,,大木锤,,,,"ค้อนไม้ขนาดใหญ, ่ ตะลุมพุก",Búa,သစ်သာ်းတအူ ကက်း စာ်း,,,Palu kayu berat,,,,,,,,,ញញ(cid:819)រេឈ(cid:822),,,,,,,,,,,,,,8
ランマ,Rammer,pambayo,,,,夯土机、夯锤,,,,"เครื(cid:1143)องกระทุ้ง,ด ิน เครื(cid:1143)องตบดิน",Máy đầm rung,သခမဖှိစက ် (Rammer),,,Stamper kuda,,,,,,,,,(cid:676)៉សុីនប(cid:559)(cid:726)ប់ដី,,,,,,,,,,,,,,8
自在クランプ,Swivel clamp,movable clamp,,,,自由夹具,,,,ข้อเสือเป็น (ข้อเสือที(cid:1143) สามารถหมุนไปมาได)้,"Kẹp xoay, khóa xoay",ြှ လည ၍်ဲ့ ရသသာ ညပ် (Adjustable/Movable clamp),,,Klam universal,,,,,,,,,ដង(cid:544)(cid:814)ំេសរ(cid:801),,,,,,,,,,,,,,8
キャッチクランプ,Catch clamp,catch clamp,,,,夹具,,,,"ชุดบีมแคลมป์กับข้อ เสือ, ชุดข้อเสือกับยูแค ลมป์ (ชุดแคลมป์ที(cid:1143)มี แคลมป์ยึดบีมและข้อ เสืออยู่คู่กัน)","Kẹp, khóa",ြှ ဖမ််းညပ်ကရှိ ှိယာ (Catch clamp),,,Jepitan pancingan,,,,,,,,,ដង(cid:544)(cid:814)ំ(cid:564)ប់,,,,,,,,,,,,,,8
吊り上げ用クランプ,Lifting clamp,clamp para sa pagbuhat,,,,夹钳吊具,,,,"แคลมป์ยกเหล็ก, แค ลมป์ยก, แคลมป์จับยก เหล็ก",Kẹp nâng Renfroe,ြှ မ ရာတငွ သ် ်း ု သသာ ညပ်,,,Lifting klam,,,,,,,,,ដង(cid:544)(cid:814)ំស(cid:688)(cid:676)ប់ស(cid:636) (cid:817)ចេ,,,,,,,,,,,,,,8
直交クランプ,Fixed clamp,right angle clamp,,,,直角交结用夹钳,,,,ข้อเสือตั(cid:1144)งฉาก,"Kẹp cố định, khóa cố đ ịnh",ရုှိကသ် ထာငမ်ဲ့ နက် သသာ ြှ ညပ် (Orthogonal clamp),,,Jepitan,,,,,,,,,ដង(cid:544)(cid:814)ំ(cid:598)ក់(cid:688)តង់,,,,,,,,,,,,,,8
フック,Hook,kawit / hook,,,,钩、钩子,,,,"ตะขอยก, ตะขอ",Móc,ှိတသ် ကာက်,,,Kait,,,,,,,,,ទំពក់,,,,,,,,,,,,,,8
ストレートシャックル,Straight shackle,straight shackle,,,,直形钩环,,,,สเก็นตัวย ู(อุปกรณ์ ห่วงโลหะที(cid:1143)ใช้สําหรับ คล้องยึดเข้ากับ อุปกรณ์ต่างๆ),Móc thẳng (hình chữ U),အသခဖာင ်ဲ့ တက် ငွ ်း် (Straight shackle),,,Mata-rantai lurus,,,,,,,,,តួ(cid:676)៉សុីន(cid:719)(cid:698)ន(cid:690)ង(cid:688)តង់,,,,,,,,,,,,,,8
滑車,Pulley,kalo / pulley,,,,滑车、滑轮,,,,รอก,"Ròng rọc, Puli",စကသ် ်း,,,Katrol/Puli,,,,,,,,,ឧបករណ៏រ(cid:843)ក,,,,,,,,,,,,,,8
クレーン,Crane,crane,,,,吊车,,,,"ปั(cid:1144)นจ, ั(cid:1143)เคนรน","Cần cẩu, cần trục",ဝန ် စက ် (ကရှိန်း် ),,,Kren,,,,,,,,,(cid:676)៉សុីនស(cid:636) (cid:817)ច,,,,,,,,,,,,,,8
移動式クレーン,Mobile crane,mobile crane,,,,移动式吊车,,,,ปั(cid:1144)นจั(cid:1143)นชนิดเคลือนท,Xe cẩu tự hành,သရွွဲ့လ ာ်းန္ငှို သ် ညက်ဲ့ ရှိန်း်,,,Kren jalan,,,,,,,,,(cid:676)៉សុីនស(cid:636) (cid:817)ចចល័ត,,,,,,,,,,,,,,8
介しゃくロープ,Guide rope,guy rope,,,,补助绳,,,,เชือกพยุงกันส่าย (เชือกที(cid:1143)ห้อยอยู่กับ ของที(cid:1143)ยกด้วยปั(cid:1144))นจั,"Cáp đuôi, cáp kéo lùi",ကရှိန်း် ခဖငပ်ဲ့ စစည်း် ခပန ် ှိန် တငွ ဆ် ယွ ရူ နက်ကြုံှိ်း,,,Tali teraju,,,,,,,,,ែខ(cid:717)ពួរជំនួយ,,,,,,,,,,,,,,8
筋かい止めピン,Cross bracing pin,strut end pin,,,,交叉杆固定销,,,,"เดือยล็อคกากบาท, สลักล็อคกากบาท, เดือยล็อคท่อคํ(cid:1144)ายัน นั(cid:1143)งร้าน",Chốt khóa thanh giằng chéo,တသစာင်း် အာ်းခဖညထ်ဲ့ ည်ဲ့ သငွ ်း် ထာ်းသသာသစ်သာ်း တန်း် အာ်း ကတု ထ် ာ်းသည ်ဲ့ တယွ ဆ် က ် ပငင် တု ်,,,Tap ikatan diagonal,,,,,,,,,(cid:540)(cid:635)ស់(cid:671)(cid:572) ប់ឧបករណ៏ (cid:598)ក់ចេ(cid:647)(cid:693) ះសសរ,,,,,,,,,,,,,,8
脚柱ジョイント,Leg column joint,stud joint,,,,脚柱接头,,,,ข้อต่อเสานั(cid:1143)งร้าน,Chốt liên kết,သအာကသ် ခ အမ တအ် ဆ က် (Leg column joint),,,Sambungan tiang kaki,,,,,,,,,តំណេជ(cid:822)ង,,,,,,,,,,,,,,8
連結ピン,Coupling pin,connecting pin,,,,连接销钉,,,,ข้อต่อ,Chốt nối,တယွ ဆ် ကပ် ငင် တု ် (Connecting pin),,,Pena hubung,,,,,,,,,(cid:540)(cid:645)ស់ត(cid:671)(cid:572) ប់,,,,,,,,,,,,,,8
ジョイント金具,Joint fitting,joint metal fitting,,,,连接器、连接零件,,,,อุปกรณ์ข้อต่อ,Khớp kim loại để kết nối ống thép,တယွ ဆ် ကသ် တတ ြုံခပာ်း (Joint metal fittings),,,Alat logam penyambung,,,,,,,,,ែដកតំណ,,,,,,,,,,,,,,8
レバーブロック,Lever block,lever block,,,,杠杆式滑车倒链,,,,รอกโยก,"Kích xích căng dây, tă ng đơ xích",လဗ ာ ေသလာက်(စကသ် ်း ) (Lever block),,,Blok tuas,,,,,,,,,ប(cid:694)(cid:814)ក(cid:676)នដង,,,,,,,,,,,,,,8
電動のこ（丸のこ）,Electric saw (Circular saw),electric circular saw (circular saw),,,,电动锯（圆锯）,,,,เลื(cid:1143)อยไฟฟ (้เาลื(cid:1143)อยวง เดือน),Máy cưa đĩa,လျှပ်စစ်လ (မာရုန္ကှို ဲ့ ှို),,,Gergaji listrik,,,,,,,,,(cid:676)៉សុីនរ(cid:622)រ,,,,,,,,,,,,,,8
モンキースパナ,Adjustable wrench,monkey spanner,,,,活扳手,,,,ประแจเลื(cid:1143)อน,Mỏ lết có điều chỉnh,ရွ င ် (Monkey spanner),,,Kunci Inggris,,,,,,,,,ឧបករណ៏េ(cid:598)ះប៊ូឡ(cid:813) ង,,,,,,,,,,,,,,8
親綱支柱,Main rope post,poste ng pangunahing lubid,,,,主绳支柱,,,,เสายึดเชือกป้องกัน การตก (เชือกสําหรับ เกี(cid:1143)ยวตะขอสายรัดตัว กันตก),Cột giăng dây neo,လခ ု ြုံ ‌သရ်း ါ်းပတက်ကြုံှိ်းက ှို ှိ တဆ် သွ ညက်ဲ့ကြုံှိ်းက ှို သထာက ် သ ညတ်ဲ့ ငှို ်,,,Tiang pendukung tali induk,,,,,,,,,(cid:688)បព័ន(cid:640)ែខ(cid:717)សុវត(cid:630)ិ(cid:671)ព,,,,,,,,,,,,,,8
ブラケット,Bracket,bracket,,,,护在钢桩上的牛脚、隅 撑,,,,นั(cid:1143)งร้านท้าวแขน,"Dầm hẫng, công son, thanh giằng chống giữ tường",အထနှိ ်း် အသထာက်,,,Braket/penopang,,,,,,,,,ែកង(cid:688)ទ,,,,,,,,,,,,,,8
梯子,Ladder,hagdan,,,,梯子,,,,"บันไดพาด, บันไดพับ",Thang,လပု ်ငန်း် ငွ သ် ်း ု သလက ာ်း,,,Tangga,,,,,,,,,ជេណ(cid:625)(cid:822)រ(cid:598)ក់,,,,,,,,,,,,,,8
親綱,Main rope,safety line,,,,主绳,,,,เชอื กป้องกันการตก (เชอื กสา หรับเกยี่ วตะขอ สายรัดตัวกันตก),Dây neo,လခ ု ြုံ သရ်း ါ်းပတက်ကြုံှိ်းကှို ှိတဆ် ယွ သူ ညက်ဲ့ကြုံှိ်း,,,Tali induk,,,,,,,,,ខ្សែពួរមេ,,,,,,,,,,,,,,8
建枠（ビティ）,Standard scaffold frame (Beatty frame),standard scaffold (Beatty),,,,框架,,,,ขาตัง้ นั่งรา้ น,Giàn giáo khung (Beatty),အသငသ်ဲ့ ်း ု ခငမ််းသောင်,,,Rangka sekeliling bangunan,,,,,,,,,គំរបឈ្នន ន់(ប ៊ី្ី),,,,,,,,,,,,,,8
メッシュシート,Mesh sheet(cid:9),mesh sheet,,,,纱布、苫布,,,,ตาขา่ ยกันฝ่นุ,Lưới bao che,ဆန ် ါကကွ ်(ပှိုကက် ကွ ်) အ င်း် ခပာ်း,,,Jaring pelindung,,,,,,,,,ក្កណាត់សំណាញ់,,,,,,,,,,,,,,8
防音パネル,Soundproof panel,soundproof panel,,,,隔音板,,,,แผงกันเสยี ง,Tấm cách âm,အသက ာသောငခ်ပာ်း,,,Panel kedap suara,,,,,,,,,ផ្ា ងំ ប់សមេលង,,,,,,,,,,,,,,8
朝顔材,Protective shelf,protective shelf material,,,,炉腹材料、防护棚,,,,ตาขา่ ยนริ ภัย,"Vách nghiêng dựng tạm để ngừa đồ vật rơi, bắn ra đ ường",ခပြုံတက် လာသညပ်ဲ့ စစည်း် ကှို ဖမ််း သ ပ်းသညအ်ဲ့,,,Jaring pengaman,,,,,,,,,ផ្ា ងំ មក្ៅសក្ម្ខប់ការពារ,,,,,,,,,,,,,,8
架空線,Overhead power line,overhead wire,,,,架空电线,,,,สายไฟบนเสาไฟฟ้า,Đường dây điện trên cao,ဓာတအ် ာ်းလငှို ်း် ကကြုံှိ်း,,,Kabel udara,,,,,,,,,ខ្សែមលើ,,,,,,,,,,,,,,8
幅木（仮設足場）,Baseboard (Temporary scaffolding),baseboard (pansamantalang scaffolding),,,,挡板（脚手架）,,,,ขอบกันตกนั่งรา้ น (นั่งรา้ น ชั่วคราว),Tấm chắn chống rơi ngã (Giàn giáo tạm thời),ကကမ််းခပငအ် စွန်း် မ သထာငထ် ာ်းသသာအခပာ်း (ယာယခ ငမ််း),,,Papan kaki,,,,,,,,,កាត របងំ មជើង(កខ្នលង ដ្ឋក់មជើងបមណាត ះោសនន),,,,,,,,,,,,,,8
単管,Single pipe(cid:9),single pipe,,,,单管,,,,ทอ่ เหล็ก,Ống thép,ပှိုကလ် ်း ု,,,Pipa tabung,,,,,,,,,បំពង់ឯក,,,,,,,,,,,,,,8
脚立,Stepladder,natitiklop na hagdan,,,,双面梯,,,,"บันไดพาด, บันไดพับ",Thang gấp,သ ါကသ် လက ာ်း,,,Tangga lipat,,,,,,,,,ជមណតើរមកាង,,,,,,,,,,,,,,8
作業半径,Operating radius,operating radius,,,,工作半径,,,,รัศมกี ารท างาน,Bán kính hoạt động,လပု ်ငန်း် လပှု ်ရ ာ်းသနသည ်ဲ့ အ င်း် ဝက်,,,Radius kerja,,,,,,,,,កាក្ំ បតិបតតិការងារ,,,,,,,,,,,,,,8
仮ボルト,Temporary bolt,pansamantalang kandado,,,,临时螺栓,,,,น็อตไวช้ ั่วคราว,Bu lông tạm thời,သရ ွဲ့သခပ်းယာယတ ပ်ဆငသ် ညမ်ဲ့ ူလ,,,Baut sementara,,,,,,,,,បូ ុ ងបមណាត ះោសនន,,,,,,,,,,,,,,8
手直し,Rework(cid:9),pasasaayos,,,,修改,,,,แกไ้ ข,Chỉnh sửa,ြှ ခပနလ် ည ် ှိနည် ခှိ င်း် /ခပငဆ် ငခ် င်း်,,,Perbaikan,,,,,,,,,ខ្កម ើងវញិ,,,,,,,,,,,,,,8
面一,Flushness,flush,,,,拉平,,,,ท าใหว้ สั ดสุ องชนดิ เรยี บ เสมอกัน,Bề mặt của hai vật liệu phẳng đều nhau,မ ကန္် ာ ခပငန္် စ ် အု ကကာ်းအ လပ်မရှိ ထကှိ ပ်သနခ င်း်,,,Samarata (Flush),,,,,,,,,មោយនផាទងំ ពីរមសមើរន,,,,,,,,,,,,,,8
点検事項,Inspection list(cid:9),mga bagay na dapat inspeksyunin,,,,检查项目,,,,รายการตรวจเช็ค,Hạng mục kiểm tra,စစ်သဆ်းရမညအ်ဲ့ ကမ် ာ်း,,,Hal-hal yang harus dicek,,,,,,,,,ក្បការក្តួតពិនិតយ,,,,,,,,,,,,,,8
積載荷重,Loading capacity,loading capacity,,,,装载负荷,,,,น ้าหนักบรรทกุ,Hoạt tải,တငသ် ဆာငန္် ငှို သ် ညက်ဲ့ နု အ် သလ်း ှိန်,,,Beban muat,,,,,,,,,េងន់ចំណុ ះដ្ឋក់,,,,,,,,,,,,,,8
すき間,Clearance,siwang,,,,间隙、缝隙,,,,ชอ่ งวา่ ง,Khe hở,ကကာ်းလပ်သနသညသ်ဲ့ နရာ,,,Celah,,,,,,,,,ចមន្ទល ះ,,,,,,,,,,,,,,8
通りを見る,Check correctness,tingnan ang pagkatuwid,,,,看中心点排齐、 对齐通端,,,,"ตรวจยนื ยัน, ตรวจยนื ยันวา่ เป็นแนวตรง",Kiểm tra có thẳng hay khô ng,သခဖာငမ်ဲ့ သခဖာငက်ဲ့ကညသ်ဲ့ ည်,,,Melihat cara,,,,,,,,,ពិនិតយផល វូ ថ្នល់,,,,,,,,,,,,,,8
組立,Assembly,pagbubuo,,,,组装、搭建,,,,ประกอบ,"Lắp ráp, lắp ghép",သပါင်း် စပ်တညသ် ဆာကခ် င်း် / ဆငခ် င်း်,,,Perakitan,,,,,,,,,តមេលើង,,,,,,,,,,,,,,8
地組,Basic assembly on the ground,pagbubuo sa lugar ng konstruksyon,,,,预先装配,,,,ประกอบทพี่ นื้,Lắp ráp ở mặt đất,ရှုပ်သထ်းွ သသာအစှိတအ် ပှိုင်း် မ ာ်းကသှို ခမသပေါ်တငွ ယ် ာယ တပ်ဆငခ် င်း်,,,perakitan di permukaan tanah.,,,,,,,,,ការផ្ គំេូលដ្ឋា ន,,,,,,,,,,,,,,8
天端,Top surface,levee crown,,,,顶端,,,,ระดับบนสดุ,Mặt trên,ကနွ က် ရစ်မ ကန္် ာ ခပငတ် ငွ ် စှိုကထ် ာ်းသသာ သသ ာင်း်,,,Permukaan atas.,,,,,,,,,ខ្ផនកខ្ទងមលើននសំណង់,,,,,,,,,,,,,,8
玉掛け,Slinging,slinging,,,,挂吊钩,,,,การเกยี่ วเชอื กเขา้ กับและ ถอดเชอื กออกจากตะขอ ปั้นจนั่,Treo tải,ပစစည်း် မ ာ်း သယမ် ှိနတ် ငွ ် ခပြုံတမ် က သစရနက်ကြုံှိ်းခဖင ်ဲ့ ညခ် င်း်,,,Penggantungan,,,,,,,,,ចំណងTamagake,,,,,,,,,,,,,,8
合図,Signal,hudyat,,,,打信号,,,,การใหส้ ญั ญาน,"Dấu hiệu, tín hiệu",အ ကခ်ပခ င်း်,,,Aba-aba,,,,,,,,,សញ្ញា,,,,,,,,,,,,,,8
定格荷重,Rated load,rated capacity,,,,额定负载,,,,พกิ ัดน ้าหนัก,Tải trọng quy định,ပ ုသသသတမ် တအ် သလ်း ှိန်,,,Berat beban.,,,,,,,,,េងន់តេខ្ទន ត,,,,,,,,,,,,,,8
たち,Verticality,vertical,,,,垂直度,,,,แนวตัง้ ของเสา,Độ thẳng đứng,(သခမမ ကန္် ာ ခပငန္် င ်ဲ့) သထာငမ်ဲ့ နက် ခ င်း်,,,Ketegaklurusan,,,,,,,,,បញ្ឈរ,,,,,,,,,,,,,,8
安全帯,Safety belt,safety belt,,,,安全带,,,,"สายรัดตัวนริ ภัย, ชดุ เซฟตี้ กันตก",Dây đai an toàn,လခ ု ြုံ သရ်း ါ်းပတက်ကြုံှိ်း,,,Sabuk pengaman,,,,,,,,,ផ្ខ្ែម្កវា៉ាត្់សុវត្ថិភាព,,,,,,,,,,,,,,8
インサート,Threaded insert,insert,,,,插入、插件,,,,"พกุ ฝังคอนกรตี , ปล๊ักฝัง คอนกรตี",Chốt chèn,ကနွ က် ရစ်ထတ ငွ ခ်မြုံပ်ထည်ဲ့ ထာ်းသသာ သထ ည ် အစှိတအ် ပှိုင်း်,,,Penyisipan,,,,,,,,,បញ្ច លូ,,,,,,,,,,,,,,8
スペーサ,Spacer(cid:9),spacer,,,,隔板,,,,ลกู ปนู,Con kê,ကကာ်း ခ ပာ်း,,,Batang jarak,,,,,,,,,ឧបករណ៏រកាចស្ែ ោះ,,,,,,,,,,,,,,8
鉄筋,Rebar(cid:9),reinforcing bar,,,,钢筋,,,,"เหล็กเสรมิ , เหล็กเสรมิ แรง",Thanh cốt thép,သတ ငှို ၊်သသ ာင်း်,,,Tulang baja,,,,,,,,,សរសសផ្ ក,,,,,,,,,,,,,,8
電工ドラム（ドラム）,Retractable extension cord reel (Drum),retractable extension cord (drum),,,,电钻,,,,ลอ้ เก็บสายไฟ (โรล สายไฟ),Rulô cuốn dây điện,ပလတသ် ပါကမ် ာ်းပါသသာ ဓာတက်ကြုံှိ်းရစ်လ်း ု (ဒရမ်),,,Teromol listrik,,,,,,,,,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ារ រ ុ ),,,,,,,,,,,,,,8
電動丸のこ（電のこ）,Electric circular saw (Electric saw)(cid:9),electric circular saw (circular saw),,,,电动圆锯机、电动圆盘 锯,,,,เลอื่ ยวงเดอื นไฟฟ้า (เลอื่ ยไฟฟ้า),Máy cưa đĩa (Dennoko),လျှပ်စစ်လအ ဝှိုင်း်,,,Gergaji listrik,,,,,,,,,រណាម៉ា សុ៊ីន(ស ង ណូ កូ ),,,,,,,,,,,,,,8
パッキン,Packing(cid:9),gasket,,,,垫圈,,,,วสั ดกุ ันซมึ รอยตอ่,"Gioăng, đệm, khớp nối",အလပ ု ှိတရ် နသ် ်း ု သသာ သရာ်ောကငွ ်း်,,,Packing,,,,,,,,,ថ្នា បំ ិទ ិត្,,,,,,,,,,,,,,8
小バール,Small crowbar,maliit na crowbar,,,,小铁挺,,,,ชะแลงขนาดเล็ก,"Xà beng, đòn bẩy nhỏ",သေ ာ်းသ ာင်း် အသသ်း,,,Linggis kecil,,,,,,,,,ផ្ ករស់ត្ូច,,,,,,,,,,,,,,8
大バール,Large crowbar,malaking crowbar,,,,大铁挺,,,,ชะแลงขนาดใหญ่,"Xà beng, đòn bẩy to",သေ ာ်းသ ာင်း် အကက်း,,,Linggis besar,,,,,,,,,ផ្ ករស់ធំ,,,,,,,,,,,,,,8
化粧合板,Decorative plywood(cid:9),decorative plywood,,,,装饰合板,,,,ไมอ้ ัดเคลอื บ,Ván trang trí,အလဆ င ် အထပ်သာ်းခပာ်း,,,Kayu lapis dekoratif,,,,,,,,,កាា បនទោះត្ុបផ្ត្ង,,,,,,,,,,,,,,8
普通合板,Regular plywood,normal plywood,,,,普通合板,,,,ไมอ้ ัดธรรมดา,Ván thường,ရုှိ်းရုှိ်းအထပ်သာ်းခပာ်း,,,Kayu lapis,,,,,,,,,កាា បនាោះធរមតា,,,,,,,,,,,,,,8
スタイロフォーム,Styrofoam,styrofoam,,,,泡沫塑料隔热板,,,,โฟม,Tấm cách nhiệt,သဖာခဲ့ပာ်း (Styrofoam),,,Styrofoam,,,,,,,,,បនទោះសនា,,,,,,,,,,,,,,8
面木,Chamfer,chamfer strip,,,,三角木条,,,,"สามเหลยี่ มลบมมุ , บัวไม้ สามเหลยี่ ม",Dải vát cạnh,ပ ုစ ကွ သ် ောင၏် သထာငတ်ဲ့ ငွ ထ် ညသ်ဲ့ သာ ြှ သ်း ု သခမာငပ် ုအစှိတအ် ပှိုင်း်,,,Paku atas,,,,,,,,,ស ើបសងាើត្សលទរុខ្សៅម្ ងុ,,,,,,,,,,,,,,8
バイブレーター,Vibrator(cid:9),vibrator,,,,振动器,,,,เครอื่ งสนั่ คอนกรตี,Đầm dùi bê tông,လျှပ်စစ်တနု ် ါ စကက် ရှိ ှိယာ,,,Vibrator,,,,,,,,,ម៉ា សុ៊ីនរំញ៉ារ័,,,,,,,,,,,,,,8
剥離剤,Remover,pangtanggal ng pintura,,,,剥离剂,,,,น ้ายาถอดแบบ,"Chất chống dính ván khuô n, chất tách khuôn, chất th áo khuôn",ာွ သဆ်း,,,Bahan pelepasan,,,,,,,,,ថ្នា សំ ំណក,,,,,,,,,,,,,,8
