No.,Kosakata,Cara membaca (Hiragana),,,Terjemahan,,,,,Anotasi,,,,,,,Contoh,,,,,,,,,,,,
11,ドーナツ,どーなつ,,,Donut,,,,,,,,,,,,"かべ        て っ き ん                      あ つ                                                つか
壁の鉄筋かぶり厚さはドーナツを使う",,,,,,,,Ketebalan pelapisan tulangan baja tembok menggunakan donut.,,,,
12,加工配筋図,かこうはいきんず,,,Gambaran susunan tulangan,,,,,,,,,,,,"か  こ  う は い き ん   ず   ど お              く  み  た
加工配筋図通りに組立てる",,,,,,,,Merakit  sesuai dengan gambaran susunan tulangan.,,,,
13,配筋詳細図,はいきんしょうさいず,,,Gambar detil susunan tulangan,,,,,,,,,,,,"は い き んしょうさい  ず   ど お             く み   た
配筋詳細図通りに組立てる",,,,,,,,Merakit sesuai dengan gambar detil susunan tulangan.,,,,
14,開口補強筋,かいこうほきょうきん,,,Opening reinforcement (penguatan kerangka beton bagian berlubang),,,,,,,,,,,,"ま ど か い こ う   ぶ          か い こ う ほ き ょ う き ん       ぐ み   た
窓開口部は開口補強筋を組立てる",,,,,,,,Bagian pintu pembukaan jendela adalah merakit opening reinforcement.,,,,
15,幅止め筋,はばどめきん,,,Tulangan penahan lebar,,,,,,,,,,,,"はば   ど          き ん         と          つ
幅止め筋を取り付ける",,,,,,,,Memasang tulangan penahan lebar.,,,,
16,差筋,さしきん,,,Batang sambungan,,,,,,,,,,,,"さ し き ん
コンクリートに差筋をする",,,,,,,,Memasang penyambungan pada beton.,,,,
17,柱主筋,はしらしゅきん,,,Tulangan utama kolom,,,,,,,,,,,,"はしらしゅきん       ぐ み   た
柱主筋を組立てる",,,,,,,,Merakit  tulangan utama kolom.,,,,
18,柱配筋,はしらはいきん,,,Susunan tulangan kolom,,,,,,,,,,,,"はしらはいきん         ず   めん        か く に ん
柱配筋を図面で確認する",,,,,,,,Mengkonfirmasikan gambar susunan tulangan kolom,,,,
19,スラブ筋,すらぶきん,,,Penulangan pelat,,,,,,,,,,,,"き ん        し ょ て い                                   く  み  た
スラブ筋を所定のピッチで組立てる",,,,,,,,Merakit penulangan pelat dengan jarak yang sudah ditentukan,,,,
20,ベース筋,べーすきん,,,Tulangan bagian dasar,,,,,,,,,,,,"き ん        く  み  た
ベース筋を組立てる",,,,,,,,Merakit tulangan bagian dasar,,,,
21,帯筋（フープ）,おびきん（ふーぷ）,,,Simpul tali,,,,,,,,,,,,"おびき ん        く  み  た
帯筋を組立てる",,,,,,,,Merakit simpul tali.,,,,
22,下端筋,したばきん,,,Tulangan ujung bawah,,,,,,,,,,,,"し  た  ば き ん        く  み  た
下端筋を組立てる",,,,,,,,Merakit tulangan ujung bawah.,,,,
23,上端筋,うわばきん,,,Penulangan bagian atas,,,,,,,,,,,,"う  わ  ば き ん        く  み  た
上端筋を組立てる",,,,,,,,Merakit penulangan bagian atas.,,,,
24,主筋,しゅきん,,,Tulangan utama,,,,,,,,,,,,"し ゅ き ん        く  み  た
主筋を組立てる",,,,,,,,Merakit tulangan utama.,,,,
25,あばら筋,あばらきん,,,Sengkang,,,,,,,,,,,,"き ん        く  み  た
あばら筋を組立てる",,,,,,,,Merakit sengkang,,,,
1,はかま筋,はかまきん,,,Tulangan penguat pondasi,,,,,,,,,,,,"き ん        く  み  た
はかま筋を組立てる",,,,,,,,Merakit tulang penguat pondasi.,,,,
2,縦筋,たてきん,,,Tulangan vertikal,,,,,,,,,,,,"た て き ん        く  み  た
縦筋を組立てる",,,,,,,,Merakit tulangan vertikal.,,,,
3,下筋,したきん,,,Tulangan bawah,,,,,,,,,,,,"し た き ん        く  み  た
下筋を組立てる",,,,,,,,Merakit tulangan bawah.,,,,
4,横筋,よこきん,,,Tulangan horizontal,,,,,,,,,,,,"よ こ き ん        く  み  た
横筋を組立てる",,,,,,,,Merakit tulangan horizontal.,,,,
5,腹筋,はらきん,,,Tulangan penguat sengkang,,,,,,,,,,,,"は ら き ん        く  み  た
腹筋を組立てる",,,,,,,,Merakit tulangan penguat sengkang.,,,,
6,配力筋,はいりょくきん,,,Tulangan pembagi,,,,,,,,,,,,"はいりょくきん        く  み  た
配力筋を組立てる",,,,,,,,Merakit tulangan pembagi.,,,,
7,上筋,うわきん,,,Tulangan atas,,,,,,,,,,,,"う わ き ん        く  み  た
上筋を組立てる",,,,,,,,Merakit tulangan atas.,,,,
8,スパイラル筋,すぱいらるきん,,,Tulangan spiral,,,,,,,,,,,,"き ん        た い し んへ き          と           つ
スパイラル筋を耐震壁に取り付ける",,,,,,,,Memasang tulangan spiral dinding tahan gempa.,,,,
9,鉄筋径,てっきんけい,,,Diameter tulangan baja,,,,,,,,,,,,"て っ き ん け い        せ っ け い  と   し   ょ         と お
鉄筋径は設計図書の通りである",,,,,,,,Diameter tulangan baja sesuai dengan gambar rancangan.,,,,
10,かぶり厚さ,かぶりあつさ,,,Ketebalan pelapisan,,,,,,,,,,,,"あ つ              か く に ん
かぶり厚さを確認する",,,,,,,,Verifikasi ketebalan pelapisan.,,,,
11,角度,かくど,,,Sudut,,,,,,,,,,,,"か  く  ど        か く に ん
角度を確認する",,,,,,,,Memverifikasi sudut.,,,,
12,シングル,しんぐる,,,Tunggal,,,,,,,,,,,,"て っ き ん                                   は い き ん         く  み  た
鉄筋はシングル配筋で組立てる",,,,,,,,Tulangan baja dirakit dengan susunan tulangan tunggal.,,,,
13,ダブル,だぶる,,,Ganda,,,,,,,,,,,,"は い き ん
スラブはダブル配筋とする",,,,,,,,Pelat lantai dibuat susunan tulangan ganda.,,,,
14,千鳥結束,ちどりけっそく,,,Pengikatan selang- seling,,,,,,,,,,,,"て っ き ん        ち   ど  り  け っ そ く
鉄筋は千鳥結束する",,,,,,,,Tulang baja diikat dengan pengikatan selang-seling.,,,,
15,切断寸法,せつだんすんぽう,,,Ukuran potongan,,,,,,,,,,,,"せつだんす ん ぽ う        て っ き ん       せつだん
切断寸法で鉄筋を切断する",,,,,,,,Tulang baja dipotong dengan ukuran ptongan,,,,
16,加工寸法,かこうすんぽう,,,Ukuran pembuatan,,,,,,,,,,,,"か  こ  う  す ん ぽ うど お             て っ き ん        か  こ  う
加工寸法通りに鉄筋を加工する",,,,,,,,Pembuatan tulang baja disesuaikan dengan ukuran pembuatan.,,,,
17,重ね継手,かさねつぎて,,,Sambungan tumpang,,,,,,,,,,,,"て っ き ん  ど  う  し         か さ         つ  ぎ  て
鉄筋同士は重ね継手とする",,,,,,,,Sesama tulangan baja dibuat sambungan tumpang.,,,,
18,圧接継手,あっせつつぎて,,,Sambungan las tekan,,,,,,,,,,,,"て っ き ん  ど  う  し        あ っ せ つ つ  ぎ  て
鉄筋同士は圧接継手とする",,,,,,,,Sesama tulangan baja dibuat sambungan las tekan.,,,,
19,開口部,かいこうぶ,,,Lubang,,,,,,,,,,,,"か  い  こ  う  ぶ               か い こ う ほ き ょ う き ん         と          つ
開口部には開口補強筋を取り付ける",,,,,,,,Memasang opening reinforcement pada lubang.,,,,
20,溶接金網,ようせつかなあみ,,,Jaring kawat las,,,,,,,,,,,,"ど     ま   は い き ん        よ う せ つ かなあみ        し  よ   う
土間配筋は溶接金網を使用する",,,,,,,,Susunan tulangan lantai tanah menggunakan jaring kawat las.,,,,
21,搬出,はんしゅつ,,,Mengeluarkan,,,,,,,,,,,,"の こ              て っ き ん        げ  ん  ば              はんしゅつ
残った鉄筋を現場から搬出する",,,,,,,,Mengeluarkan  tulangan baja yang tersisa dari lapangan.,,,,
22,搬入,はんにゅう,,,Mengangkat ke dalam,,,,,,,,,,,,"て っ き ん        げ  ん  ば        はんにゅう
鉄筋を現場に搬入する",,,,,,,,Mengangkat tulangan baja ke lapangan.,,,,
23,基礎,きそ,,,Pondasi,,,,,,,,,,,,"き     そ          は い き ん
基礎の配筋をおこなう",,,,,,,,Melakukan susunan tulangan pondasi.,,,,
24,機械式継手,きかいしきつぎて,,,Penyambungan,,,,,,,,,,,,"て っ き ん  ど  う  し         き  か  い  し  き  つ  ぎ  て
鉄筋同士は機械式継手とする",,,,,,,,Menyambungkan sesama tulangan baja.,,,,
25,配筋検査,はいきんけんさ,,,Pemeriksaan susunan tulangan,,,,,,,,,,,,"せ っ け い か ん り し ゃ                    は い き ん け  ん  さ         ご う か く
設計監理者による配筋検査に合格す
る",,,,,,,,Lulus pemeriksaaan susunan tulangan oleh penanggung jawab disain.,,,,
1,トラクタ,とらくた,,,Traktor,,,,,Traktor yang dipasang alat kerja (alat tambahan) disebut Buldozer atau  Traktor Shovel.,,,,,,,,,,,,,,,,,,,
2,ブルドーザ,ぶるどーざ,,,Bulldozer,,,,,Alat berat traktor yang dilengkapi dengan sudu.,,,,,,,,,,,,,,,,,,,
3,トラクタショベル,とらくたしょべる,,,Traktor shovel,,,,,Traktor yang dipasangkan alat pengeruk. Ada tipe penapak(track) dan tipe ban roda.,,,,,,,,,,,,,,,,,,,
4,ホイルローダ,ほいるろーだ,,,Wheel Loader,,,,,Traktor shovel berban roda (4 roda).,,,,,,,,,,,,,,,,,,,
5,ダンプトラック,だんぷとらっく,,,Truk jungkit,,,,,,,,,,,,,,,,,,,,,,,,
6,油圧ショベル,ゆあつしょべる,,,Eskavator hidrolik,,,,,Alat berat  yang memilik pengeruk yang dapat digunakan untuk berbagai fungsi dengan cara memasang alat-alat tambahan.,,,,,,,,,,,,,,,,,,,
7,バックホウ,ばっくほう,,,Serok belakang,,,,,"Penampilannya paling mirip dengan eskavator Hidrolik, digunakan untuk menggali kedalaman yang lebih rendah dari permukaan tanah.",,,,,,,,,,,,,,,,,,,
8,ローディングショベル,ろーでぃんぐしょべる,,,Loading eksakavator,,,,,Salah satu Eskavator Hidrolik yang digunakan untuk mengangkut pasir dan tanah bebatuan.,,,,,,,,,,,,,,,,,,,
9,ローラ,ろーら,,,mesin giling,,,,,,,,,,,,,,,,,,,,,,,,
10,バケット,ばけっと,,,bucket/serok,,,,,"Uang yang didapatkan oleh pegawai swasta atau negeri pada saat pensiun, cacat, atau meninggal.",,,,,,,,,,,,,,,,,,,
11,ブーム,ぶーむ,,,boom/penopang,,,,,Uang asuransi yang diberikan ketika kehilangan pekerjaan atau ketika memulai proses mencari pekerjaan baru.,,,,,,,,,,,,,,,,,,,
12,アーム,あーむ,,,lengan,,,,,,,,,,,,,,,,,,,,,,,,
13,ブレード（排土板）,ぶれーど（はいどばん）,,,blade/sudu,,,,,,,,,,,,,,,,,,,,,,,,
14,タイヤ,たいや,,,mesin,,,,,,,,,,,,,,,,,,,,,,,,
15,クローラ,くろーら,,,mesin diesel,,,,,,,,,,,,,,,,,,,,,,,,
16,キー（鍵）,きー（かぎ）,,,minyak enjin,,,,,,,,,,,,"く る ま   か ぎ
車の鍵",,,,,,,,kunci mobil.,,,,
17,"作業装置
（アタッチメント）","さぎょうそうち
（あたっちめんと）",,,alternator(generator pengisi daya),,,,,,,,,,,,,,,,,,,,,,,,
18,エンジン,えんじん,,,baterai,,,,,,,,,,,,"き
エンジンをかける、エンジンを切る",,,,,,,,"menghidupkan mesin, mematikan mesin.",,,,
19,ディーゼルエンジン,でぃーぜるえんじん,,,bahan bakar,,,,,,,,,,,,,,,,,,,,,,,,
20,エンジンオイル,えんじんおいる,,,minyak diesel,,,,,,,,,,,,,,,,,,,,,,,,
21,"オルタネータ
（充電発電機）","おるたねーた
（じゅうでんはつでんき）",,,rem,,,,,,,,,,,,,,,,,,,,,,,,
22,バッテリ,ばってり,,,pompa oli hidrolik,,,,,,,,,,,,,,,,,,,,,,,,
23,燃料,ねんりょう,,,silinder hidrolik,,,,,,,,,,,,,,,,,,,,,,,,
24,軽油,けいゆ,,,motor hidrolik,,,,,,,,,,,,,,,,,,,,,,,,
25,ブレーキ,ぶれーき,,,peralatan kerja,,,,,,,,,,,,"ふ
ブレーキを踏む",,,,,,,,menekan rem.,,,,
1,油圧シリンダ,ゆあつしりんだ,,,Silinder hidrolik,,,,,,,,,,,,,,,,,,,,,,,,
2,油圧モータ,ゆあつもーた,,,Motor hidrolik,,,,,,,,,,,,,,,,,,,,,,,,
3,油圧ポンプ,ゆあつぽんぷ,,,Pompa oli hidrolik,,,,,,,,,,,,,,,,,,,,,,,,
4,水漏れ,みずもれ,,,Kebocoran air,,,,,,,,,,,,,,,,,,,,,,,,
5,油漏れ,あぶらもれ,,,Kebocoran minyak,,,,,,,,,,,,,,,,,,,,,,,,
6,冷却水,れいきゃくすい,,,Air pendingin,,,,,,,,,,,,,,,,,,,,,,,,
7,ブレーキ液,ぶれーきえき,,,Minyak rem,,,,,,,,,,,,,,,,,,,,,,,,
8,燃料タンク,ねんりょうたんく,,,Tangki bahan bakar,,,,,,,,,,,,,,,,,,,,,,,,
9,ファンベルト,ふぁんべると,,,Tali kipas,,,,,,,,,,,,,,,,,,,,,,,,
10,空気圧,くうきあつ,,,Tekanan udara,,,,,,,,,,,,,,,,,,,,,,,,
11,クラッチ,くらっち,,,Alat pembuka kopling,,,,,,,,,,,,,,,,,,,,,,,,
12,急発進,きゅうはっしん,,,Gas mendadak,,,,,,,,,,,,,,,,,,,,,,,,
13,急ブレーキ,きゅうぶれーき,,,Rem mendadak,,,,,,,,,,,,,,,,,,,,,,,,
14,アイドリング,あいどりんぐ,,,Keadaan saat mesin bekerja tetapi kendaraan (mobil) tidak bergerak.,,,,,,,,,,,,,,"て  い  し
エンジンを停止するときはアイドリング
と
したあとに止める",,,,,,,Saat memberhentikan mesin hentikan setelah mesin kendaraan sudah tidak bergerak.,,,
15,走行,そうこう,,,Berjalan/Melaju,,,,,,,,,,,,,,,,,,,,,,,,
16,旋回,せんかい,,,Putaran,,,,,,,,,,,,,,,,,,,,,,,,
17,安全ロック,あんぜんろっく,,,Alat pelindung bahaya,,,,,,,,,,,,,,,,,,,,,,,,
18,安全支柱,あんぜんしちゅう,,,Safety pillar (Tiang pengaman),,,,,,,,,,,,,,,,,,,,,,,,
19,補給（する）,ほきゅう（する）,,,Suplai (Mensuplai),,,,,,,,,,,,,,"ねんりょう       ほ き ゅ う
エンジンをかけたまま燃料を補給し                               て
はいけない",,,,,,,Tidak boleh mengisi bahan bakar saat mesin dalam keadaan hidup,,,
20,駐車（する）,ちゅうしゃ（する）,,,Parkir (Memarkirkan),,,,,,,,,,,,,,,,,,,,,,,,
21,歩行者,ほこうしゃ,,,Pejalan kaki,,,,,,,,,,,,,,,,,,,,,,,,
22,車両,しゃりょう,,,Kendaraan,,,,,,,,,,,,,,,,,,,,,,,,
23,死角,しかく,,,Titik buta (Posisi tidak terlihat),,,,,,,,,,,,,,,,,,,,,,,,
24,斜面,しゃめん,,,Lereng,,,,,,,,,,,,,,"や ま   の   し ゃ め ん       の ぼ
山の斜面を上る",,,,,,,Mendaki lereng gunung,,,
25,転圧（する）,てんあつ（する）,,,Giling (Menggiling),,,,,,,,,,,,,,"て ん あ つ さ ぎ ょ う
ローラで転圧作業をする",,,,,,,Pekerjaan menggiling dengan mesin giling.,,,
1,接触（する）,せっしょく（する）,,,Tabrak (Menabrak),,,,,,,,,,,,,,"じ ゅ う き        せっしょく
重機に接触してけがをする",,,,,,,luka tertabrak alat berat.,,,
2,作動（する）,さどう（する）,,,Hidup (Menghidupkan),,,,,,,,,,,,,,"か  さ  い  ほ   う  ち    き            さ  ど   う
火災報知器が作動する",,,,,,,alat pendeteksi kebakaran hidup.,,,
3,整備（する）,せいび（する）,,,Perbaikan (Memperbaiki),,,,,,,,,,,,,,"しゃりょう         せ  い  び
車両の整備をする",,,,,,,memperbaiki kendaraan.,,,
4,点検（する）,てんけん（する）,,,Periksa (Memeriksa),,,,,,,,,,,,,,"さ ぎ ょ う ま え         こ   う   ぐ        て ん け ん
作業前に工具を点検する",,,,,,,mencek sebelum bekerja.,,,
5,動かす,うごかす,,,Menggerakkan,,,,,,,,,,,,,,"き  か  い        う ご
機械を動かす",,,,,,,menggerakkan mesin.,,,
6,運転（する）,うんてん（する）,,,Kemudi (Mengemudi),,,,,,,,,,,,,,"け ん せ つ き  か  い        う ん て ん
建設機械を運転する",,,,,,,mengemudi mesin konstruksi.,,,
7,測る,はかる,,,Mengukur,,,,,,,,,,,,,,"て っ き ん        なが              は か
鉄筋の長さを測る",,,,,,,mengukur panjangnya tulangan baja.,,,
8,操作（する）,そうさ（する）,,,Operasi (Mengoperasikan),,,,,,,,,,,,,,"き  か  い         そ   う   さ
機械を操作する",,,,,,,mengoperasikan mesin.,,,
9,停止（する）,ていし（する）,,,Henti (Menghentikan),,,,,,,,,,,,,,,,,,,,,,,,
10,切る,きる,,,Memotong,,,,,,,,,,,,,,"き              て っ き ん          き
エンジンを切る、鉄筋を切る",,,,,,,"mematikan mesin, memotong
tulangan baja.",,,
11,回す,まわす,,,Memutar,,,,,,,,,,,,,,,,,,,,,,,,
12,押す,おす,,,Mendorong,,,,,,,,,,,,,,,,,,,,,,,,
13,集める,あつめる,,,Mengumpulkan,,,,,,,,,,,,,,,,,,,,,,,,
14,触る,さわる,,,Menyentuh,,,,,,,,,,,,,,,,,,,,,,,,
15,縛る,しばる,,,Mengikat,,,,,,,,,,,,,,,,,,,,,,,,
16,揃える,そろえる,,,Menyamaratakan,,,,,,,,,,,,,,"て っ き ん        なが              そ ろ
鉄筋の長さを揃える",,,,,,,"menyama-ratakan panjangnya
tulangan baja.",,,
17,結ぶ,むすぶ,,,Mengikat,,,,,,,,,,,,,,"ざいりょう                                                       む す
材料をまとめてひもで結ぶ",,,,,,,"menyatukan bahan, mengikatnya dengan tali.",,,
18,しゃがむ,しゃがむ,,,Berjongkok,,,,,,,,,,,,,,,,,,,,,,,,
19,調整（する）,ちょうせい（する）,,,"Penyesuaian
(Menyesuaikan)",,,,,,,,,,,,,,,,,,,,,,,,
20,閉じる,とじる,,,Menutup,,,,,,,,,,,,,,,,,,,,,,,,
1,取り出す,とりだす,,,Mengeluarkan,,,,,,,,,,,,,,,,,,,,,,,,
2,戻す,もどす,,,Mengembalikan,,,,,,,,,,,,"つか               こ   う   ぐ         も と         ば  し   ょ         も ど
使った工具は元の場所に戻す",,,,,,,,"Mengembalikan alat ke tempat
semula.",,,,
3,仕上げる,しあげる,,,Menyelesaikan,,,,,,,,,,,,,,,,,,,,,,,,
4,折れる,おれる,,,Patah,,,,,,,,,,,,"く ぎ           お
釘が折れる",,,,,,,,Paku nya patah.,,,,
5,欠ける,かける,,,Sumbing (Patah),,,,,,,,,,,,"ま る                        は             か
丸のこの刃が欠ける",,,,,,,,Pisau gergaji besi sumbing.,,,,
6,近づく,ちかづく,,,Mendekat,,,,,,,,,,,,"さぎょ うち ゅう        じ ゅ う き        ち か
作業中の重機に近づかない",,,,,,,,Jangan mendekati alat berat saat kerja.,,,,
7,電源を入れる,でんげんをいれる,,,Menghidupkan listrik,,,,,,,,,,,,,,,,,,,,,,,,
8,電源を落とす,でんげんをおとす,,,Mematikan listrik,,,,,,,,,,,,,,,,,,,,,,,,
9,スイッチを切る,すいっちをきる,,,Mematikan saklar,,,,,,,,,,,,,,,,,,,,,,,,
10,固定（する）,こてい（する）,,,Fiksasi (Menguatkan),,,,,,,,,,,,,,,,,,,,,,,,
11,ゆるめる,ゆるめる,,,Mengendurkan,,,,,,,,,,,,ボルトをゆるめる,,,,,,,,Mengendurkan baut.,,,,
12,伸ばす,のばす,,,Memanjangkan,,,,,,,,,,,,,,,,,,,,,,,,
13,外す,はずす,,,Melepas,,,,,,,,,,,,"あ ん ぜん                             は ず
安全カバーを外す",,,,,,,,Melepas tutup pengaman.,,,,
14,曲げる,まげる,,,Membengkokkan,,,,,,,,,,,,"て っ き ん          ま
鉄筋を曲げる",,,,,,,,Membengkokkan tulangan baja.,,,,
15,出す,だす,,,Mengeluarkan,,,,,,,,,,,,,,,,,,,,,,,,
16,乾かす,かわかす,,,Mengeringkan,,,,,,,,,,,,,,,,,,,,,,,,
17,数える,かぞえる,,,Menghitung,,,,,,,,,,,,,,,,,,,,,,,,
18,運ぶ,はこぶ,,,Membawa,,,,,,,,,,,,,,,,,,,,,,,,
19,積む,つむ,,,Menumpuk,,,,,,,,,,,,"ざいりょう                                                               つ
材料をくずれないように積む",,,,,,,,Menumpuk material agar tidak roboh.,,,,
20,下ろす,おろす,,,Menurunkan,,,,,,,,,,,,"に  だ  い                に  も  つ          お
トラックの荷台から荷物を下ろす",,,,,,,,Menurunkan barang dari bak truk.,,,,
21,離れる,はなれる,,,Menjauhi,,,,,,,,,,,,,,,,,,,,,,,,
1,位置,いち,,Posisi,,,,,,,,,,,,,,,,,,,,,,,,,
2,寸法,すんぽう,,Ukuran,,,,,,,,,,,,,,,,,,,,,,,,,
3,測定（する）,そくてい（する）,,Pengukuran (Mengukur),,,,,,,,,,,,,,,,,,,,,,,,,
4,計測（する）,けいそく（する）,,Takar (Menakar),,,,,,,,,,,,,,,,,,,,,,,,,
5,計測器,けいそくき,,Alat ukur,,,,,,,,,,,,,,,,,,,,,,,,,
6,温度,おんど,,Suhu,,,,,,,,,,,,,,,,,,,,,,,,,
7,高さ,たかさ,,Ketinggian,,,,,,,,,,,,,,,,,,,,,,,,,
8,長さ,ながさ,,Panjang,,,,,,,,,,,,,,,,,,,,,,,,,
9,重さ,おもさ,,Berat,,,,,,,,,,,,,,,,,,,,,,,,,
10,厚さ,あつさ,,Ketebalan,,,,,,,,,,,,,,,,,,,,,,,,,
11,硬さ,かたさ,,Kekerasan,,,,,,,,,,,,,,,,,,,,,,,,,
12,深さ,ふかさ,,Kedalaman,,,,,,,,,,,,,,,,,,,,,,,,,
13,表面,ひょうめん,,Permukaan,,,,,,,,,,,,,,,,,,,,,,,,,
14,すきま,すきま,,Celah,,,,,,,,,,,,,,,,,,,,,,,,,
15,中心,ちゅうしん,,Pusat/Tengah,,,,,,,,,,,,,,,,,,,,,,,,,
16,値,あたい,,Nilai,,,,,,,,,,,,,,,,,,,,,,,,,
17,安定（する）,あんてい（する）,,Stabil (Menstabilkan),,,,,,,,,,,,,,,,,,,,,,,,,
18,大きさ,おおきさ,,Besarnya,,,,,,,,,,,,,,,,,,,,,,,,,
19,数,かず,,Banyak/Jumlah,,,,,,,,,,,,,,,,,,,,,,,,,
20,誤差,ごさ,,Selisih,,,,,,,,,,,,,,,,,,,,,,,,,
21,中,なか,,Dalam,,,,,,,,,,,,,,,,,,,,,,,,,
22,反対,はんたい,,Terbalik/Berlawanan,,,,,,,,,,,,,,,,,,,,,,,,,
23,周り,まわり,,Sekitar,,,,,,,,,,,,,,,,,,,,,,,,,
24,尺,しゃく,,"30,3 sentimeter",,,,,,,,1 Shaku = 30.3cm,,,,,,,,,,,,,,,,,
25,青,あお,,Biru,,,,,,,,,,,,,,,,,,,,,,,,,
26,赤,あか,,Merah,,,,,,,,,,,,,,,,,,,,,,,,,
27,白,しろ,,Putih,,,,,,,,,,,,,,,,,,,,,,,,,
28,黄色,きいろ,,Warna kuning,,,,,,,,,,,,,,,,,,,,,,,,,
1,片づける,かたづける,,"Membereskan(Mengem
balikan seperti semula)",,,,,なおす,,,,,,,,,,,,,,,,,,,,
2,捨てる,すてる,,Membuang,,,,,ほかす、なげる,,,,,,,,,,,,,,,,,,,,
3,掃く,はく,,Menyapu,,,,,はわく,,,,,,,,,,,,,,,,,,,,
4,持ち上げる,もちあげる,,Mengangkat.,,,,,つる,,,,,,,,,,,,,,,,,,,,
5,束ねる,たばねる,,Bundel,,,,,きびる,,,,,,,,,,,,,,,,,,,,
6,足をくじく,あしをくじく,,Keseleo,,,,,ぐねる,,,,,,,,,,,,,,,,,,,,
1,一輪車,いちりんしゃ,,Kendaraan satu roda,,,,,ねこ,,,,,,,,,,,,,,,,,,,,
2,支柱,しちゅう,,tiang pancang/penyanggah,,,,,サポート,,,,,,,,,,,,,,,,,,,,
3,ショベル,しょべる,,"Alat keruk, ekskavator",,,,,スコップ,,,,,,,,,,,,,,,,,,,,
4,かけや,かけや,,Palu besar,,,,,鳴り物（なりもの）、大鳴り（おおなり）,,,,,,,,,,,,,,,,,,,,
