No.,Page,ความคดิ เห็น,ความคิดเห็น,ควำมคดิ เห็น,คา แปล,ตว ัอย่าง,ตวั อยา่ ง,ตวัอย่าง,รปู ภาพ,รูปภาพ,วธิ ก ีารอา่ น,วธิ ก ีำรอำ่ น,วิธกีารอ่าน,ศพ ัท์,ศพั ท์,ศพัท์,หมายเหตุ,อา่ นวา่,เครอื่ งหมาย,เหตผุ ล,เหตุผล
17,30,"สภาพของแผน่ พนื้ ทางเดนิ ขา้ งหนงึ่
ของนั่งรา้ นทยี่ นื่ ออกมาอยา่ งมากจาก
สว่ นทรี่ องรับ หากเหยยี บขนึ้ ไปโดยไม่
รอู้ าจตกได ้ซงึ่ เป็นอันตรายอยา่ งยงิ่",,,,"かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る",,,,,はねだし,,,はね出し,,,,,,สว่ นทยี่ นื่ ออกมา,
17,27,,,,,"いた と つ
けこみ板を取り付ける",,,,,けこみいた,,,けこみ板,,,,,,ไมบ้ ันไดลกู ตัง้,
17,21,,,,,,,"きゃくちゅう さいご さ こ
脚柱ジョイントは最後まで差し込む",,,,,きゃくちゅうじょいんと,,,脚柱ジョイント,,,,,ข้อต่อเสานั(cid:1143)งร้าน
17,24,,,,,"かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる",,,,,とおりをみる,,,通りを見る,,,,,,"ตรวจยนื ยัน, ตรวจยนื ยันวา่
เป็นแนวตรง",
17,44,,,,,,,,,,,かぞえる,,数える,,,,,,นับ,
17,33,,,,,"はしらしゅきん ぐみ た
柱主筋を組立てる",,,,,はしらしゅきん,,,柱主筋,,,,,,"เหล็กเสรมิ หลักในเสา,
เหล็กยนื",
17,46,,,,,,,,,,あんてい（する）,,,安定（する）,,,,,,"ความเสถยี ร (เสถยี ร), ความ
มนั่ คง (มนั่ คง)",
17,8,,,,,,,,,,やけど（する）,,,やけど（する）,,,,,,แผลไฟลวก (โดนไฟลวก),
18,24,,,,,"あ し ば く み た
足場を組立てる",,,,,くみたて,,,組立,,,,,,ประกอบ,
18,36,,,,,"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする",,,,,あっせつつぎて,,,圧接継手,,,,,,"การตอ่ เหล็กดว้ ยการเชอื่ ม
แกส๊ และแรงดัน",
18,27,,,,,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける",,,,,めじぼう,,,目地棒,,,,,,"วสั ดกุ ัน้ ใหเ้กดิ แนวร่อง
รอยตอ่",
18,46,,,,,,,,,,おおきさ,,,大きさ,,,,,,ขนำด,
18,33,,,,,"はしらはいきん ず めん かくにん
柱配筋を図面で確認する",,,,,はしらはいきん,,,柱配筋,,,,,,การวางเหล็กเสรมิ ในเสา,
18,21,,,,,,,"れんけつ さいご さ こ
連結ピンは最後まで差し込む",,,,,れんけつぴん,,,連結ピン,,,,,ข้อต่อ
18,30,,,,,"だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する",,,,,はらみ,,,はらみ,,,,,,เบง่ บวม,
18,8,,,,,"かいだん お
階段から落ちる",,,,,おちる,,,落ちる,,,,,,ตก,
18,12,,,,,,,,,,こうじげんば,,,工事現場,,,,,,สถานทกี่ อ่ สรา้ ง,
18,19,,,,,,,,,,きつえんじょ,,,喫煙所,,,,,,ทพี่ ักสบู บหุ รี่,
18,14,,,,,,,,,,はきけ,,,吐き気,,,,,,คลนื่ ไส้,
18,44,,,,,,,,,,,はこぶ,,運ぶ,,,,,,ขน,
18,43,,,,,,,,,,しゃがむ,,,しゃがむ,,,,,,นั่งยองๆ,
18,10,,,,,,,,,,,じっしゅう（する）,,実習（する）,,,,,,"การฝึกภาคปฏบิ ัต ิ(ฝึก
ภาคปฏบิ ัต)ิ",
18,42,,,,,,,,,,あんぜんしちゅう,,,安全支柱,,,,,,เสำค ้ำเพอื่ ควำมปลอดภัย,
18,39,,,,,"き
エンジンをかける、エンジンを切る",,,,,えんじん,,,エンジン,,,,,,เครอื่ งยนต์,
19,42,,,,,"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない",,,,,ほきゅう（する）,,,補給（する）,,,,,,(กำร)เตมิ,
19,44,,,,,"ざいりょう つ
材料をくずれないように積む",,,,,,つむ,,積む,,,,,,วางซอ้ น,
19,43,,,,,,,,,,ちょうせい（する）,,,調整（する）,,,,,,การปรับ (ปรับ),
19,19,,,,,,,,,,せいりせいとん,,,整理整頓,,,,,,"สะสาง สะดวก,
ซอ้ นใหถ้ กู ตอ้ งสะดวกใช้
ปลอดภัย",
19,14,,,,,,,,,,おうと（する）,,,嘔吐（する）,,,,,,อาเจยี น (อาเจยี น),
19,12,,,,,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う",,,,,しょくちょう,,,職長,,,,,,หัวหนา้ งาน,
19,10,,,,,,,,,,,あいさつ,,あいさつ,,,,,,ทักทาย,
19,30,,,,,"まえつら そろ
前面を揃える",,,,,まえつら,,,前面,,,,,,ดา้ นหนา้,
19,36,,,,,"かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける",,,,,かいこうぶ,,,開口部,,,,,,ชอ่ งเปิด,
19,27,,,,,"かたわく なが こ
型枠にコンクリートを流し込む",,,,,こんくりーと,,,コンクリート,,,,,,คอนกรตี,
19,24,,,,,"した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける",,,,,じぐみ,,,地組,,,,,,ประกอบทพี่ นื้,
19,39,,,,,,,,,,でぃーぜるえんじん,,,ディーゼルエンジン,,,,,,เครอื่ งยนตด์ เี ซล,
19,21,,,,,,,"かなぐ かくじつ さいご
ジョイント金具は確実に最後までは
める",,้,,,じょいんとかなぐ,,,ジョイント金具,,,,,อุปกรณ์ข้อต่อ
19,33,,,,,"きん しょてい く み た
スラブ筋を所定のピッチで組立てる",,,,,すらぶきん,,,スラブ筋,,,,,,เหล็กเสรมิ ในพนื้,
19,46,,,,,,,,,,かず,,,数,,,,,,จ ำนวน,
19,8,,,,,"ゆか
床がすべる",,,,,すべる,,,すべる,,,,,,ลนื่,
20,42,,,,,,,,,,ちゅうしゃ（する）,,,駐車（する）,,,,,,(กำร)จอดรถ,
20,12,,,,,,,,,,さぎょうせきにんしゃ,,,作業責任者,,,,,,ผรู้ ับผดิ ชอบงาน,
20,19,,,,,,,,,,あんぜんつうろ,,,安全通路,,,,,,ทางเดนิ ปลอดภัย,
20,9,,,,,"こうじょう ころ
工場ですべって転んだ",,,,,ころぶ,,,転ぶ,,,,,,หกลม้,
20,43,,,,,,,,,,とじる,,,閉じる,,,,,,ปิด,
20,10,,,,,,,,,,,かくにん（する）,,確認（する）,,,,,,การตรวจสอบ (ตรวจสอบ),
20,44,,,,,"に だ い に も つ お
トラックの荷台から荷物を下ろす",,,,,,おろす,,下ろす,,,,,,เอาลง,
20,14,,,,,,,,,,あしがつる,,,足がつる,,,,,,มอี าการตะครวิ ทขี่ า,
20,24,"เรยี กอกี ชอิ่ หนงึ่ วา่ 「ดา้ นบน (อุ
วะบะ)」",,,,"て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす",,,,,てんば,,,天端,,,,,,ระดับบนสดุ,
20,36,,,,,"ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する",,,,,ようせつかなあみ,,,溶接金網,,,,,,ตะแกรงเหล็กเชอื่ ม,
20,30,,,,,"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう",,,,,ようじょう,,,養生,,,,,,บม่,
20,46,,,,,,,,,,ごさ,,,誤差,,,,,,ควำมคลำดเคลอื่ น,
20,33,,,,,"きん く み た
ベース筋を組立てる",,,,,べーすきん,,,ベース筋,,,,,,เหล็กเสรมิ ในฐานราก,
20,39,,,,,,,,,,えんじんおいる,,,エンジンオイル,,,,,,น ้ำมันเครอื่ ง,
20,21,,,,,,,"しざい こてい
レバーブロックで資材を固定する",,,,,ればーぶろっく,,,レバーブロック,,,,,รอกโยก
20,27,,,,,"すんぽう はか
コンベックスで寸法を測る",,,,,こんべっくす,,,コンベックス,,,,,,ตลับเมตร,
21,37,,,,,"のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する",,,,,はんしゅつ,,,搬出,,,,,,ล าเลยี งออก,
21,28,,,,,"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう",,,,,さぎょうようてぶくろ,,,作業用手袋,,,,,,ถงุ มอื สา หรับใชป้ ฏบิ ัตงิ าน,
21,25,,,,,"ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう",,,,,たまかけ・たまがけ,,,玉掛け,,,,,,"การเกยี่ วเชอื กเขา้ กับและ
ถอดเชอื กออกจากตะขอ
ปั้นจนั่",
21,40,,,,,,,,,,"おるたねーた
（じゅうでんはつでんき）",,,"オルタネータ
（充電発電機）",,,,,,"อัลเทอรเ์ นเตอร,์ ไดชำรจ์
(เครอื่ งปั่นไฟและสำมำรถ
ชำรจ์ ไฟเขำ้ แบตเตอร)ี่",
21,22,,,,,,,"かたわく せつだん まる しよう
型枠の切断は丸のこを使用する",,,,,"でんどうのこ（まるの
こ）",,,電動のこ（丸のこ）,,,,,"เลื(cid:1143)อยไฟฟ (้เาลื(cid:1143)อยวง
เดือน)"
21,34,,,,,"おびきん く み た
帯筋を組立てる",,,,,おびきん（ふーぷ）,,,帯筋（フープ）,,,,,,"เหล็กปลอกเสา (เหล็ก
ปลอกรัดรอบ)",
21,46,,,,,,,,,,なか,,,中,,,,,,ขำ้ งใน,
21,31,,,,,"そくりょう
レベルを測量する",,,,,れべる,,,レベル,,,,,,"ระดับ, เครอื่ งวดั ระนาบ",
21,9,,,,,,,,,,ぬれる,,,濡れる,,,,,,เปียก,
21,11,,,,,,,,,,,ほうこく（する）,,報告（する）,,,,,,การรายงาน (รายงาน),
21,44,,,,,,,,,,,はなれる,,離れる,,,,,,ออกหา่ ง,
21,42,,,,,,,,,,ほこうしゃ,,,歩行者,,,,,,คนเดนิ เทำ้,
21,14,,,,,,,,,,きぶんがわるい,,,気分が悪い,,,,,,รสู้ กึ ไมส่ บาย,
22,22,,"หรือเรียกอีกอย่างหนึ(cid:1143)ง「ว่า
ประแจลิง (มงคี(cid:1143)เรน)」ฉิ",,,,,"し ゆる
モンキースパナでナットを締める・緩
める",,,,,もんきーすぱな,,,モンキースパナ,,,,,ประแจเลื(cid:1143)อน
22,40,,,,,,,,,,ばってり,,,バッテリ,,,,,,แบตเตอรี่,
22,9,,,,,,,,,,えいせい,,,衛生,,,,,,อนามัย,
22,11,,,,,,,,,,,れんらく（する）,,連絡（する）,,,,,,การตดิ ตอ่ (ตดิ ตอ่ ),
22,46,,,,,,,,,,はんたい,,,反対,,,,,,ตรงขำ้ ม,
22,34,,,,,"し た ばきん く み た
下端筋を組立てる",,,,,したばきん,,,下端筋,,,,,,เหล็กเสรมิ ลา่ ง,
22,31,,,,,"かたわく わ つ
型枠を割り付ける",,,,,わりつけ,,,割付,,,,,,"การแบง่ พนื้ ทบี่ นแบบ
แปลนเพอื่ ก าหนดจดุ
ตดิ ตัง้ อยา่ งถกู ตอ้ ง",
22,37,,,,,"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する",,,,,はんにゅう,,,搬入,,,,,,ล าเลยี งเขา้,
22,42,,,,,,,,,,しゃりょう,,,車両,,,,,,ยำนพำหนะมลี อ้ ทวี่ งิ่ บนบก,
22,14,,,,,,,,,,ねぶそく,,,寝不足,,,,,,นอนไมพ่ อ,
22,25,,,,,"じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う",,,,,あいず,,,合図,,,,,,การใหส้ ญั ญาน,
22,28,,,,,"さしがね すんぽう はか
差金で寸法を測る",,,,,さしがね,,,差金,,,,,,ฉากเหล็ก,
23,22,,,,,,,"おやづな は い ち おやづなしちゅう と
親綱を張る位置に親綱支柱を取り
つ
付ける",,,,,おやづなしちゅう,,,親綱支柱,,,,,"เสายึดเชือกป้องกัน
การตก (เชือกสําหรับ
เกี(cid:1143)ยวตะขอสายรัดตัว
กันตก)"
23,25,,,,,"ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない",,,,,ていかくかじゅう,,,定格荷重,,,,,,พกิ ัดน ้าหนัก,
23,28,,,,,"すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする",,,,,すいへいき,,,水平器,,,,,,"ระดับน ้า, เครอื่ งวดั ระดับ",
23,46,,,,,,,,,,まわり,,,周り,,,,,,รอบ,
23,34,,,,,"う わ ばきん く み た
上端筋を組立てる",,,,,うわばきん,,,上端筋,,,,,,เหล็กเสรมิ บน,
23,31,,,,,"かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける",,,,,うめこみかなもの,,,埋め込み金物,,,,,,"อปุ กรณ์โลหะแบบฝังอยู่
ในคอนกรตี เพอื่ เป็น
รากฐานของตัวยดึ สา หรับ
ตดิ ตัง้ อปุ กรณ์ตา่ งๆ",
23,40,,,,,,,,,,ねんりょう,,,燃料,,,,,,เชอื้ เพลงิ,
23,37,หมายถงึ รากฐานของสงิ่ กอ่ สรา้ ง,,,,"き そ はいきん
基礎の配筋をおこなう",,,,,きそ,,,基礎,,,,,,ฐานราก,
23,14,,,,,,,,,,あんぜんねっと,,,安全ネット,,,,,,เครอื ขา่ ยความปลอดภัย,
23,42,หมำยถงึ จดุ ทมี่ องไมเ่ ห็น,,,,,,,,,しかく,,,死角,,,,,,จดุ บอด,
23,11,,,,,,,,,,,そうだん（する）,,相談（する）,,,,,,การปรกึ ษา (ปรกึ ษา),
23,9,,,,,,,,,,ひなん（する）,,,避難（する）,,,,,,"การอพยพหนีภัย (อพยพ
หนีภัย)",
24,42,,,,,"やま の しゃめん のぼ
山の斜面を上る",,,,,しゃめん,,,斜面,,,,,,"ทำงลำด, พนื้ ทลี่ ำดเอยี ง",
24,46,1ชะค≒ุ 30.3㎝,,,,,,,,,しゃく,,,尺,,,,,,หน่วยควำมยำวของญปี่ ่นุ,
24,37,,,,,"てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする",,,,,きかいしきつぎて,,,機械式継手,,,,,,ขอ้ ตอ่ เหล็กเชงิ กล,
24,40,,,,,,,,,,けいゆ,,,軽油,,,,,,น ้ำมันดเี ซล,
24,34,,,,,"しゅきん く み た
主筋を組立てる",,,,,しゅきん,,,主筋,,,,,,เหล็กเสรมิ หลัก,
24,31,,,,,"かたわく かいたい
型枠を解体する（バラス）",,,,,かいたいする（ばらす）,,,解体する（バラス）,,,,,,รอื้ ถอน (ถอดเป็นชนิ้ ๆ),
24,25,,,,,"あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）",,,,,たち,,,たち,,,,,,แนวตัง้ ของเสา,
24,28,,,,,"すみ すみ
墨さしを墨つぼにつける",,,,,すみさし,,,墨さし,,,,,,ปากกาสา หรับใชต้ เี สน้,
24,22,,"หรือเรียกอีกอย่างหนึ(cid:1143)ง「ว่าคาน
ปีก (โมะชิโอะคุร)ิ」",,,,,"あしば と つ
足場にブラケットを取り付ける",,,,,ぶらけっと,,,ブラケット,,,,,นั(cid:1143)งร้านท้าวแขน
24,14,,,,,,,,,,あんぜんてんけん,,,安全点検,,,,,,"การตรวจเช็คความ
ปลอดภัย",
24,11,,,ใชใ้ นกรณีทยี่ นื่ ของใหใ้ ครซกั คน,,,,,,,,わたす,,渡す,,,,,,ยนื่ ให้,
24,9,,,,,,,,,,きゅうきゅうしゃ,,,救急車,,,,,,รถพยาบาล,
25,34,,,,,"きん く み た
あばら筋を組立てる",,,,,あばらきん,,,あばら筋,,,,,,เหล็กปลอกคาน,
25,37,,,,,"せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る",,,,,はいきんけんさ,,,配筋検査,,,,,,"การตรวจสอบการจัดวาง
เหล็กเสรมิ",
25,46,,,,,,,,,,あお,,,青,,,,,,น ้ำเงนิ,
25,42,,,,,"てんあつさぎょう
ローラで転圧作業をする",,,,,てんあつ（する）,,,転圧（する）,,,,,,(กำร)บดอดั,
25,9,,,,,,,,,,さいがい,,,災害,,,,,,ภัยพบิ ัติ,
25,11,,,,,,,,,,,しんせいしょ,,申請書,,,,,,ใบค ารอ้ ง,
25,22,,,,,,,,,,,,はしご,,,梯子,,,,,"บันไดพาด, บันไดพับ"
25,28,,,,,"すみ すみ
墨さしを墨つぼにつける",,,,,すみつぼ,,,墨つぼ,,,,,,บักเตา้ ตเี สน้,
25,40,,,,,"ふ
ブレーキを踏む",,,,,ぶれーき,,,ブレーキ,,,,,,เบรค,
25,31,,,,,"てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する",,,,,かぶりすんぽう,,,かぶり寸法,,,,,,"ระยะคอนกรตี หมุ้ ผวิ เหล็ก,
ระยะหมุ้ ของคอนกรตี",
25,25,,,,,"あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う",,,,,しょくちょう,,,職長,,,,,,หวั หนา้ งาน,
26,46,,,,,,,,,,あか,,,赤,,,,,,แดง,
26,11,,,,,,,,,,,ねぼう（する）,,寝坊（する）,,,,,,"่ ่
การตนื สาย (ตนื สาย)",
26,9,,,,,"じ しん お
地震が起きる",,,,,じしん,,,地震,,,,,,แผน่ ดนิ ไหว,
27,9,,,,,"じ しん つくえ した
地震だ！机の下にもぐれ！",,,,,もぐる,,,もぐる,,,,,,มดุ,
27,46,,,,,,,,,,しろ,,,白,,,,,,ขำว,
28,46,,,,,,,,,,きいろ,,,黄色,,,,,,เหลอื ง,
