No.,Page,ခ ေါဟာရ,စာဖတန ည်း,ဘာသာ ြန ဆ ို ခင်း,မှတခ ျက,အမှတအ သာ်း/ဆငို ်း ဘတို,ဥြမာ
16,34,捨てコンクリート,すてこんくりーと,"သခမသာ်းသပေါ်တငွ သ် ရ ်းဥ ်းစွာ
သလာင်း် သသာ
ကနွ က် ရစ်အလာ",,,"す と わく せ っ ち
捨てコンクリートの止め枠を設置する"
16,46,旋回,せんかい,ဆလ ု ညလ် ည ခ်ဲ့ င်း်,,,
16,52,値,あたい,တနဖ် ှို်း,,,
16,28,すき間,すきま,ကကာ်းလပ်သနသညသ်ဲ့ နရာ,,,"ぼうおん ま あ
防音シートはすき間が空かないように
と つ
取り付ける"
16,48,揃える,そろえる,"ြှ
ညသှိ ည်",,,"てっきん なが そろ
鉄筋の長さを揃える"
16,14,ミーティング,みーてぃんぐ,အစည်း် အသဝ်း,"အစည်း် အသဝ်း၊ မနကအ် စည်း် အသဝ်း၊
အလပု ်ပပ ်းအစည်း် အသဝ်းကလှို ည်း်
အစည်း် အသဝ်းလသှို ဲ့ ေါ် ကကသည။်",,
16,11,巻き込まれる,まきこまれる,ညပ်ပါသည်,,,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる"
17,28,通りを見る,とおりをみる,သခဖာငမ်ဲ့ သခဖာငက်ဲ့ကညသ်ဲ့ ည်,,,"かたどお ね ぎ り で き とお
やり方通りで根切が出来ているか通
りをみる"
17,16,熱中症,ねっちゅうしょう,အပူလျှပ်ခ င်း်,,,
17,14,研修（する）,けんしゅう（する）,သငတ် န်း် (ခပြုံလပု ်သည်),,,
17,43,"作業装置
（アタッチメント）","さぎょうそうち
（あたっちめんと）","လပု ်ငန်း် သ်း ု တပ်ဆငစ် ရာ ကရှိ ှိယာ
(Attachment)",,,
17,15,作業台,さぎょうだい,အလပု ်စာ်းပ ွ,,,
17,50,数える,かぞえる,သရတကွ သ် ည်,,,
17,40,重ね継手,かさねつぎて,"သသ ာင်း် ၂ သ ာင်း် ၏
အဖ ာ်းက ှို ထပ်၍ ဆကခ် င်း်",,,"てっきん ど う し かさ つ ぎ て
鉄筋同士は重ね継手とする"
17,31,けこみ板,けこみいた,"သလက ာ်း စသညတ် ၏ှို ဲ့
သဒါငလ် ကှို အ် ခပာ်း",,,"いた と つ
けこみ板を取り付ける"
17,34,はね出し,はねだし,ကျွ ထကွ သ် နခ င်း်,"ခငမ််း၏ လမ််းသကကာင်း် အခပာ်းက
သထာကပ် ှို်းထာ်းသညအ်ဲ့ စှိတအ် ပှိုင်း် မ
သေ်းတစ်ဖကသ် ှို မဲ့ ာ်းစွာကျွ ထကွ ်
သနသသာ အသခ အသန။ မသေှိ
နင်း် မှိပါက လမှိ ်ဲ့က န္ငှို ၍် အလနွ ်
အန္ရတ ာယမ် ာ်းသည်",,"かべ だ かたわく く み た
壁からはね出してスラブ型枠を組立て
る"
17,52,安定（する）,あんてい（する）,တညပ်ငမှိ ်(သည)်,,,
17,11,やけど（する）,やけど（する）,အပူသလာင်(သည်),,,
17,37,柱主筋,はしらしゅきん,သကာ်လတ ငှို ် အဓှိကသတ ငှို ်,,,"はしらしゅきん ぐみ た
柱主筋を組立てる"
17,48,結ぶ,むすぶ,ထ်း ု သည၊် ညသ် ည်,,,"ざいりょう むす
材料をまとめてひもで結ぶ"
17,46,安全ロック,あんぜんろっく,"အန္ရတ ာယက် င်း် သစရန၊်
စကအ် စှိတအ် ပှိုင်း် မ ာ်း
မသရွွဲ့ရ ာ်းန္ငှို သ် အာင ်
ထမှိ ််း ြုံပ်သည ်ဲ့ ကရှိ ှိယာ",,,
17,23,最大積載荷重,さいだいせきさいかじゅう,အမ ာ်းဆ်း ု တငန္် ငှို သ် ည ်ဲ့ ကနု အ် သလ်း ှိန်,,,
17,26,脚柱ジョイント,きゃくちゅうじょいんと,"သအာကသ် ခ အမ တအ် ဆ
က်
(Leg column joint)",,,"きゃくちゅう さ い ご さ こ
脚柱ジョイントは最後まで差し込む"
18,43,エンジン,えんじん,အငဂ် ငစ် က်,"အငဂ် ငစ် ကက် န္ှို ်းှိှု သည၊်
အငဂ် ငစ် ကက် ရှို ပ်သည်/ပှိတသ် ည်",,"き
エンジンをかける、エンジンを切る"
18,15,工事現場,こうじげんば,သဆာကလ် ပု ်သရ်း လပု ်ငန်း် ငွ ်,,,
18,37,柱配筋,はしらはいきん,"သကာ်လတ ငှို အ် ာ်း
သထာကက် နသ် ပ်းသည ်ဲ့
သသ ာင်း်",,,"はしらはいきん ず めん かくにん
柱配筋を図面で確認する"
18,31,目地棒,めじぼう,"ကနွ က် ရစ်တငွ ်
သခမာင်း် သဖာ်ရန ် ထညသ်ဲ့ သာ
အသ ာင်း်",,,"かたわく め じ ぼう と つ
型枠に目地棒を取り付ける"
18,52,大きさ,おおきさ,အရွယအ် စာ်း,,,
18,34,はらみ,はらみ,သဖာင်း် ကကခ င်း်,,,"だ せ つちゅう かたわく
コンクリート打設中に型枠のはらみを
かくにん
確認する"
18,23,喫煙所,きつえんじょ,သဆ်းလပှိ ်သသာကရ် နသ် နရာ,,,
18,26,連結ピン,れんけつぴん,"တယွ ဆ် ကပ် ငင် တု ်
(Connecting pin)",,,"れんけつ さ い ご さ こ
連結ピンは最後まで差し込む"
18,29,組立,くみたて,"သပါင်း် စပ်တညသ် ဆာကခ် င်း် /
ဆငခ် င်း်",,,"あ し ば く み た
足場を組立てる"
18,40,圧接継手,あっせつつぎて,ဖှိအာ်းခဖင ်ဲ့ တယွ ဆ် ကခ် င်း်,,,"てっきん ど う し あっせつつ ぎ て
鉄筋同士は圧接継手とする"
18,50,運ぶ,はこぶ,သယသ် ဆာငသ် ည်,,,
18,46,安全支柱,あんぜんしちゅう,"ခပြုံတက် မညအ်ဲ့ န္ရတ ာယက် ာ
ကယွ သ် ရ်း သထာကတ် ငှို ်",,,
18,11,落ちる,おちる,က ဆင်း် သည်,,,"かいだん お
階段から落ちる"
18,48,しゃがむ,しゃがむ,သဆာငသ်ဲ့ ကကာငထ်ဲ့ ငှို သ် ည်,,,
18,16,吐き気,はきけ,ပ ှိြုံွဲ့စှိတ၊်အန ် ငစ် ှိတ်,,,
18,14,実習（する）,じっしゅう（する）,"လကသ် တွဲ့သွ ငတ် န်း် (ခပြုံလပု ်
သည်)",,,
19,15,職長,しょくちょう,လပု ်ငန်း် ငွ လ် မ််းည နက်က်း ကကပ်သူ,,,"あしばくみたて しょくちょう し じ したが
足場組立は 職長の指示に従う"
19,16,嘔吐（する）,おうと（する）,အန(် သည်),,,
19,38,スラブ筋,すらぶきん,"ကကမ််း င်း် အတငွ ်း် ရှိ
သသ ာင်း်",,,"きん しょてい く み た
スラブ筋を所定のピッチで組立てる"
19,31,コンクリート,こんくりーと,ကနွ က် ရစ်,,,"かたわく なが こ
型枠にコンクリートを流し込む"
19,52,数,かず,အသရအတကွ ်,,,
19,35,前面,まえつら,သရ ွဲ့မ ကန္် ာ ခပင်,,,"まえつら そろ
前面を揃える"
19,23,整理整頓,せいりせいとん,"သနရ် ဲ့ င်း် သပ်ရပ်သနသအာင်
အစ အစဥ်တက လပု ်ပါ",,,
19,26,ジョイント金具,じょいんとかなぐ,"တယွ ဆ် ကသ် တတ ြုံခပာ်း
(Joint metal fittings)",,,"か な ぐ かくじつ さ い ご
ジョイント金具は確実に最後まではめ
る"
19,29,地組,じぐみ,"ရှုပ်သထ်းွ သသာအစှိတအ် ပှိုင်း်
မ ာ်းကသှို ခမသပေါ်တငွ ယ် ာယ
တပ်ဆငခ် င်း်",,,"した じ ぐみ あ し ば あ
下で地組した足場をクレーンで上げ
うえ と つ
て上で取り付ける"
19,40,開口部,かいこうぶ,"သသ ောငဆ် ငရ် ာတငွ ်
အလယ၌် နထ် ာ်း သ ဲ့ ည်ဲ့
အသပါက်",,,"かい こ う ぶ かいこうほきょうきん と つ
開口部には開口補強筋を取り付ける"
19,14,あいさつ,あいさつ,န္တှု ဆ် ကခ် င်း်,,,
19,43,ディーゼルエンジン,でぃーぜるえんじん,ဒဇ ယအ် ငဂ် ငစ် က်,,,
19,46,補給（する）,ほきゅう（する）,ခဖညခ်ဲ့ င်း်,,,"ねんりょう ほきゅう
エンジンをかけたまま燃料を補給して
はいけない"
19,50,積む,つむ,ပ ုသည်,,,"ざいりょう つ
材料をくずれないように積む"
19,11,すべる,すべる,သ ာ်လသ ည်,,,"ゆか
床がすべる"
19,48,調整（する）,ちょうせい（する）,"ြှ
ကကှို ည် ှိ(သည်)",,,
20,52,誤差,ごさ,အလ၊ွ အမ ာ်း,,,
20,44,エンジンオイル,えんじんおいる,အငဂ် ငဝ် ှိုင၊်အငဂ် ငဆ်,,,
20,46,駐車（する）,ちゅうしゃ（する）,"(ပါကငမ် ာ) ကာ်းရပ်ခ င်း် ၊
ကာ်းထ်းှို ခ င်း်",,,
20,40,溶接金網,ようせつかなあみ,"ဂသဟဆကထ် ာ်းသသာ
သသ ာင်း် ဆန ် ါကကွ ်",,,"ど ま はいきん ようせつかなあみ し よ う
土間配筋は溶接金網を使用する"
20,38,ベース筋,べーすきん,သအာက ် သ သ ာင်း်,,,"きん く み た
ベース筋を組立てる"
20,29,天端,てんば,"ကနွ က် ရစ်မ ကန္် ာ ခပငတ် ငွ ်
စှိုကထ် ာ်းသသာ သသ ာင်း်",,,"て ん ば へいかつ
コンクリートの天端をコテで平滑にな
らす"
20,32,コンベックス,こんべっくす,"အလ ာ်းတငှို ်း် သည ်ဲ့
သသ ပတအ လပှိ ်",,,"すんぽう はか
コンベックスで寸法を測る"
20,35,養生,ようじょう,"ပပ ်းသာွ ်းသသာအပှိုင်း် မ ာ်းကှို
ထ ှိ ကှို မ် ှုမရှိ သစရန ်
ထနှိ ်း် သမှိ ််းခ င်း်",,,"だ せ つ ご ようじょう
コンクリート打設後に養生をおこなう"
20,23,安全通路,あんぜんつうろ,"အန္ရတ ာယက် င်း် သည်ဲ့
သလျှာကလ် မ််းသကကာင်း်",,,
20,26,レバーブロック,ればーぶろっく,"လဗ ာ
ေသလာက်(စကသ် ်း )
(Lever block)",,,"し ざ い こ て い
レバーブロックで資材を固定する"
20,17,足がつる,あしがつる,သခ သထာက ် ကကကတ် ကသ် ည်,,,
20,15,作業責任者,さぎょうせきにんしゃ,လပု ်ငန်း် တာဝန ်,,,
20,12,転ぶ,ころぶ,လက သည်,,,"こうじょう ころ
工場ですべって転んだ"
20,48,閉じる,とじる,ပှိတသ် ည်,,,
20,50,下ろす,おろす,သအာက ် သည်,,,"に だ い に も つ お
トラックの荷台から荷物を下ろす"
20,14,確認（する）,かくにん（する）,သသ ာစစ်(သည်),,,
21,17,気分が悪い,きぶんがわるい,သနလမှို ဲ့ သကာင်း် ေ်းူ,,,
21,26,電動のこ（丸のこ）,でんどうのこ（まるのこ）,လျှပ်စစ်လ (မာရုန္ကှို ဲ့ ှို),,,"かたわく せつだん まる し よ う
型枠の切断は丸のこを使用する"
21,29,玉掛け,たまかけ・たまがけ,"ပစစည်း် မ ာ်း သယမ် ှိနတ် ငွ ်
ခပြုံတမ် က သစရနက်ကြုံှိ်းခဖင ်ဲ့
ညခ် င်း်",,,"ざいりょう つ あ さい あんぜん い ち
材料を吊り上げる際は安全な位置に
たまかけ
玉掛けをおこなう"
21,32,作業用手袋,さぎょうようてぶくろ,လပု ်ငန်း် ငွ သ် ်း ု လကအ် ပှိ ်,,,"さぎょうようてぶくろ もち かたわくさぎょう
作業用手袋を用いて型枠作業をおこ
なう"
21,41,搬出,はんしゅつ,(ပစစည်း် ) ထတု ခ် င်း်,,,"のこ てっきん げ ん ば はんしゅつ
残った鉄筋を現場から搬出する"
21,38,帯筋（フープ）,おびきん（ふーぷ）,"သကာ်လတ ငှို သ် သ ာင်း် အာ်း
ပတထ် ာ်းသညသ်ဲ့ သ ွ",,,"おびきん く み た
帯筋を組立てる"
21,44,"オルタネータ
（充電発電機）","おるたねーた
（じゅうでんはつでんき）","ခပနလ် န လ် ျှပ်ထတု စ် က ်
(သအာ်လတ် ာသနတာ)",,,
21,52,中,なか,အတငွ ်း် ၊အထ,,,
21,35,レベル,れべる,အနမှိ ်ဲ့အခမင၊်ဲ့ သရခပငည်,,,"そくりょう
レベルを測量する"
21,14,報告（する）,ほうこく（する）,အသကကာင်း် ကကာ်း(သည်),,,
21,50,離れる,はなれる,စွန ် ဲ့ ာွ သည၊်သရ ာငတ် မှိ ််းသည်,,,
21,12,濡れる,ぬれる,သရစှိုသည်,,,
21,46,歩行者,ほこうしゃ,လမ််းသာွ ်းလမ််းလာ,,,
22,35,割付,わりつけ,သွ ဝသတမ် တခ် င်း်,,,"かたわく わ つ
型枠を割り付ける"
22,44,バッテリ,ばってり,ေကထ် ရ အု်းှိ ၊ဓာတ ်,,,
22,52,反対,はんたい,"ဆနက် ဲ့ ငေ် က၊် အခ ာ်းတစ်ဖက၊်
မ ကန္် ာ င်း် ဆငှို ်",,,
22,17,寝不足,ねぶそく,အပှိ ်သရ်းမဝခ င်း်,,,
22,26,モンキースパナ,もんきーすぱな,ရွ င ် (Monkey spanner),(Monkey wrench) ဟလု ည်း် သ ေါ်သည်,,"し ゆる
モンキースパナでナットを締める・緩
める"
22,29,合図,あいず,အ ကခ်ပခ င်း်,,,"じゅうきさぎょう あ い ず あんぜん おこな
重機作業は合図をもって安全に行う"
22,46,車両,しゃりょう,ေ်း တပ်ယာဥ်,,,
22,32,差金,さしがね,"သသ ပတသ ထာငမ်ဲ့ န ်
အသကာက်",,,"さしがね すんぽう はか
差金で寸法を測る"
22,41,搬入,はんにゅう,(ပစစည်း် ) သငွ ်း် ခ င်း်,,,"てっきん げ ん ば はんにゅう
鉄筋を現場に搬入する"
22,38,下端筋,したばきん,"ရကမ် ရှိ သသ ၏ွ
သအာကေ် ကရ် ှိ သသ ာင်း်",,,"し た ばきん く み た
下端筋を組立てる"
22,14,連絡（する）,れんらく（する）,အသကကာင်း် ကကာ်း(သည်),,,
22,12,衛生,えいせい,သနရ် ဲ့ င်း် သပ်ရပ်မှု,,,
23,52,周り,まわり,အန်း ပတဝ် န်း် က င်,,,
23,41,基礎,きそ,သအာကသ် ခ သဖာငသ် ဒ်းရ င်း်,"အသဆာကအ် အု၏ သအာကသ် ခ
သဖာငသ် ဒ်းရ င်း် က ှို ဆလှို သှို ည်",,"き そ はいきん
基礎の配筋をおこなう"
23,44,燃料,ねんりょう,သလာငစ် ာဆ,,,
23,46,死角,しかく,(ယာဥ်သမာင်း် ) မ ကက် ယွ ်,မခမငန္် ငှို သ် သာသနရာ/မခမငရ် သသာသနရာ,,
23,29,定格荷重,ていかくかじゅう,ပ ုသသသတမ် တအ် သလ်း ှိန်,,,"ていかくかじゅう こ つ さぎょう
定格荷重を超えて吊りもの作業はお
こなわない"
23,32,水平器,すいへいき,"သရခပငည် တ ငှို ်း် သည ်ဲ့
ကရှိ ှိယာ",,,"すいへい き かたむ ちょうせい すいへい
水平器で傾きを調整し水平にする"
23,35,埋め込み金物,うめこみかなもの,"ြှ
ခမြုံပ်ထာ်းသသာ
သထ ညပ် စစည်း်",,,"かたわく う こ かなもの
型枠にはあらかじめ埋め込み金物を
と つ
取り付ける"
23,38,上端筋,うわばきん,"ရကမ် ရှိ သသ ၏ွ
အသပေါ်ေကရ် ှိ သသ ာင်း်",,,"う わ ばきん く み た
上端筋を組立てる"
23,17,安全ネット,あんぜんねっと,လခ ု ြုံ သရ်းပှိုကက် နွ ်,,,
23,26,親綱支柱,おやづなしちゅう,"လခ ု ြုံ ‌သရ်း ါ်းပတက်ကြုံှိ်းက ှို ှိ
တဆ် သွ ညက်ဲ့ကြုံှိ်းက ှို
သထာက ် သ ညတ်ဲ့ ငှို ်",,,"おやづな は い ち おやづなしちゅう と つ
親綱を張る位置に親綱支柱を取り付
ける"
23,12,避難（する）,ひなん（する）,သေ်းသရ ာင်(သည်),,,
23,14,相談（する）,そうだん（する）,သဆ်းွ သန္်းွ (သည်),,,
24,44,軽油,けいゆ,ဒဇ ယဆ်,,,
24,52,尺,しゃく,ရ ု (အရ ည၊်အလျှာ်း),"တစ် ရ ု = ၃၀.၃ စငတ် မ တာ (၀.၉၉၅
သပ)",,
24,38,主筋,しゅきん,အဓှိကသသ ာင်း်,,,"しゅきん く み た
主筋を組立てる"
24,32,墨さし,すみさし,"သစ်သာ်းတငွ ်
အမ တအ် သာ်း သရ်းခ စ်ရန်
သ်း ု သသာ ဝါ်း ျွနခ်ပာ်း",,,"すみ すみ
墨さしを墨つぼにつける"
24,26,ブラケット,ぶらけっと,အထနှိ ်း် အသထာက်,"(မှို ှိအု ှိ ရု ှိ) (Corbel)
ဟလု ည်း် သ ေါ်သည။်",,"あ し ば と つ
足場にブラケットを取り付ける"
24,17,安全点検,あんぜんてんけん,လခ ု ြုံ စှိတ ် မှုစစ်သဆ်းခ င်း်,,,
24,35,解体する（バラス）,かいたいする（ばらす）,ပဖှိြုံဖ ကသ် ည်,,,"かたわく かいたい
型枠を解体する（バラス）"
24,29,たち,たち,"(သခမမ ကန္် ာ ခပငန္် င ်ဲ့)
သထာငမ်ဲ့ နက် ခ င်း်",,,"あ しばしち ゅ う み すいちょくせい
足場支柱のたちを見る（垂直性＝た
ち）"
24,14,渡す,わたす,သပ်းသည်,"ပစစည်း် က ှို အခ ာ်းသကူ ှို သပ်းတအ ဲ့ ါ
သ်း ု သည်",,
24,12,救急車,きゅうきゅうしゃ,လနူ ာတငယ် ာဉ်,,,
24,46,斜面,しゃめん,ကနု ်း် သစာင်း် ၊ ဆငသ် ခ သလျှာ,,,"やま の しゃめん のぼ
山の斜面を上る"
24,41,機械式継手,きかいしきつぎて,"သသ ာင်း် ၂ သ ာင်း် က ှို
စကက် သှို ်း ု ၍ ဆကခ် င်း်",,,"てっきん ど う し き か い し き つ ぎ て
鉄筋同士は機械式継手とする"
25,32,墨つぼ,すみつぼ,"မငအ် နက ် ထညသ်ဲ့ သာ
သစ်သာ်းအု်းှိ",,,"すみ すみ
墨さしを墨つぼにつける"
25,35,かぶり寸法,かぶりすんぽう,"သသ ာင်း် ကအှို ုပ်သည ်ဲ့
ကနွ က် ရစ်၏ အထူ",,,"てっきん かたわく すんぽう かくにん
鉄筋と型枠のかぶり寸法を確認する"
25,26,梯子,はしご,လပု ်ငန်း် ငွ သ် ်း ု သလက ာ်း,,,
25,38,あばら筋,あばらきん,"ရကမ် စသည ်ဲ့ အလ ာ်းလကှို ်
သနရာမ ာ်းတငွ ် သ်း ု သည ်ဲ့
သသ ာင်း် ငယ်",,,"きん く み た
あばら筋を組立てる"
25,46,転圧（する）,てんあつ（する）,"သအာကသ် ခ သခမသာ်းမ ာ်းကှို
တလမှိ ်ဲ့တ်း ု စသညတ် ခှိုဖဲ့ င ်ဲ့
ဖှိ၍ သပှိ ်သည်း် သစခ င်း်",,,"てんあつさぎょう
ローラで転圧作業をする"
25,41,配筋検査,はいきんけんさ,"သသ ောငဆ် ငပ်ပ ်းသနာက ်
စစ်သဆ်းမှု",,,"せっけいかんりしゃ はいきんけ ん さ ごうかく
設計監理者による配筋検査に合格す
る"
25,44,ブレーキ,ぶれーき,ေရှိတ်,,,"ふ
ブレーキを踏む"
25,52,青,あお,အခပာသရာင်,,,
25,12,災害,さいがい,သေ်းအန္ရတ ာယ်,,,
25,14,申請書,しんせいしょ,သလျှာကလ် ာ,,,
25,29,職長,しょくちょう,"လပု ်ငန်း် ငွ လ် မ််းည န ်
ကက်း ကကပ်သူ",,,"あ し ばくみたて しょくちょう し じ したが
足場組立は職長の指示に従う"
26,52,赤,あか,အနသ ရာင်,,,
26,12,地震,じしん,ငလ င်,,,"じ しん お
地震が起きる"
26,14,寝坊（する）,ねぼう（する）,အပှိ ်ရာထသနာကက် (သည်),,,
27,12,もぐる,もぐる,သအာကသ် ဝှို ဲ့ ငသ် ည်,,,"じ しん つくえ した
地震だ！机の下にもぐれ！"
27,52,白,しろ,အခဖြူသရာင်,,,
28,52,黄色,きいろ,အဝါသရာင်,,,
