"だ い       か       き     そ
第1課基礎30",Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 21,Unnamed: 31
6,釘仕舞い,くぎしまい,"ရုှိက်ထာ်းသသာ သ သ  ာင််းမ ာ်းကှို
ခပန်န္ှုတ်သှိမ််းဆည််းခ င််း","か た わ く                                   く ぎ   し     ま
型枠をばらして釘仕舞いをする",ပု စ  ွက်သောင်ကှို တစ်စစ ပဖှိြုံဖ က်၍ ရုှိက်ထာ်းသသာ သ သ  ာင််းမ ာ်းကုှိ ခပန်န္ှုတ်သှိမ််းဆည််းသည်
7,スラブ天端,すらぶてんば,ကကမ််းခပင်ခပာ်း,"て ん   ば
スラブ天端をそろえる",ကကမ််းခပင်ခပာ်းကုှိညှိြှသည်
8,高さ（タッパ）,たかさ（たっぱ）,အခမင်ဲ့,"た か                                           は か
高さ（タッパ）を測る",အခမင်ဲ့ကှိုတှိုင််းသည်
9,建込み,たてこみ,သဒါင်လုှိက် တပ်ဆင်ခ င််း,"か た わ く        た  て  こ
型枠を建込みする",ပု စ  ွက်သောင်ကုှိ သဒါင်လှိုက် တပ်ဆင်သည်
"だい       か   かたわく
第16課 型枠②",,,,,
သင ခန ်းစာ ၁၆။ ကွန ကရစ ခလာင ်းရန  ြံိုစံခွက ခဘာင လိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
10,通り,とおり,ခပန်ခပင်ခ င််း,"と お                よ
通りを良くする","မသကာင််းသသာအရာ၊
အသန္ ာင်ဲ့အယ က်ခဖစ်သသာအရာမ ာ်းကုှိ သကာင််းသအာင် ခပန်ခပင်သည်"
11,蹴上げ,けあげ,သလ ကာ်းတစ်ဆင်ဲ့၏ အခမင်ဲ့,"き                                  け     あ          す ん ぽ う         か た わ く        く  み  た
決められた蹴上げ寸法で型枠を組立
てる",သတ်မ တ်ထာ်းသသာသလ ကာ်းတစ်ဆင်ဲ့၏ အခမင်ဲ့အတှိုင််းပု စ  ွက်သောင်ကှိုဆင်သ ည်
12,蹴込み,けこみ,သလ ကာ်း၏ သခ နင််းအက ယ်,"き                                け     こ          す ん ぽ う        か た わ く        く  み  た
決められた蹴込み寸法で型枠を組立
てる","သတ်မ တ်ထာ်းသသာသလ ကာ်း၏
သခ နင််းအက ယ်အတှိုင််းပု စ  ွက်သောင် ကှိုဆင်သည်"
13,工具の手入れ,こうぐのていれ,ကှိရှိယာမ ာ်းကှို ခပြုံခပင်ထှိန််းသှိမ််းခ င််း,"こ   う   ぐ           て     い
工具の手入れをおこたらない",ကှိရှိယာမ ာ်းကုှိ ခပြုံခပင်ထှိန််းသှိမ််းရန် မသပါဲ့သလ ာဲ့ပါန္ င်ဲ့
14,下げ振り,さげふり, ှိ န်သ ်း,"さ            ふ               すいちょく       か く に ん
下げ振りで垂直を確認する", ှိ န်သ ်းခဖင်ဲ့ သဒါင်လုှိက်က မက အတည်ခပြုံ စစ်သဆ်းသည်
15,地墨,じずみ,ကကမ််းခပင် စသည်တှိုဲ့တွင် ခ စ်မ တ်ထာ်းသသာ မင်,"じ   ず み         あ                        か た わ く         と          つ
地墨に合わせて型枠を取り付ける",ခ စ်မ တ်ထာ်းသသာ မင်အမ တ်အတှိုင််း ပု စ  ွက်သောင်ကှို တပ်ဆင်သည်
16,捨てコンクリート,すてこんくりーと,သခမသာ်းသပေါ်တွင်သရ ်းဥ ်းစွာ သလာင််းသသာ ကွန်ကရစ်အလ ာ,"す                                                      と          わ く        せ  っ  ち
捨てコンクリートの止め枠を設置す                               る","သခမသာ်းသပေါ်တွင်သရ ်းဥ ်းစွာသလာင််းသသာ ကွန်ကရစ်အလ ာအတွက်
သောင် တ်သည်"
17,はね出し,はねだし,ကျွ ထွက်သနခ င််း,"かべ                              だ                                   か た わ く        く  み  た
壁からはね出してスラブ型枠を組立て
る",န ရ မ  သက ာ်ထွက်၍ ကကမ််းခပင်ပု စ  ွက်သောင်ကုှိ တပ်ဆင်သည်
18,はらみ,はらみ,သဖာင််းကကခ င််း,"だ  せ  つ ちゅう       か た わ く
コンクリート打設中に型枠のはらみを
か く に ん
確認する",ကွန်ကရစ်သလာင််းသန ှိ န်တွင်  ပု စ  ွက်သောင်၏သဖာင််းကကမှုကှို စစ်သဆ်းသည်
"だい       か   かたわく
第16課 型枠②",,,,,
သင ခန ်းစာ ၁၆။ ကွန ကရစ ခလာင ်းရန  ြံိုစံခွက ခဘာင လိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
19,前面,まえつら,သရ ွဲ့မ က်န္ ာခပင်,"ま え つ ら       そ ろ
前面を揃える",သရ ွဲ့မ က်န္ ာခပင်ကှိုညှိြှသည်
20,養生,ようじょう,ပပ ်းသွာ်းသသာအပှိုင််းမ ာ်းကှို ထှိ ှိုက်မှုမရှိ သစရန် ထှိန််းသှိမ််းခ င််း,"だ  せ  つ   ご         ようじょう
コンクリート打設後に養生をおこなう",ကွန်ကရစ်သလာင််းပပ ်းသွာ်းသသာ အပှိုင််းမ ာ်းကုှိ ထှိ ုှိက်မှုမရှိ သစရန် ထှိန််းသှိမ််းသည်
21,レベル,れべる,အနှိမ်ဲ့အခမင်ဲ့၊ သရခပင်ည ,"そくりょう
レベルを測量する",အနှိမ်ဲ့အခမင်ဲ့/သရခပင်ည  ကုှိတှိုင််းသည်
22,割付,わりつけ, ွ သဝသတ်မ တ်ခ င််း,"か た わ く         わ          つ
型枠を割り付ける",ပု စ  ွက်သောင်ကှို ွ သဝသတ်မ တ်  ထာ်း သည်
23,埋め込み金物,うめこみかなもの,ခမြှြုံပ်ထာ်းသသာ သ ထည်ပစစည််း,"か た わ く                                                  う            こ          か な もの
型枠にはあらかじめ埋め込み金物を
と          つ
取り付ける",ပု စ  ွက်သောင်တွင် သ ထည်ပစစည််းကှို ကကှိြုံခမြှြုံပ်ထာ်းသည်
24,解体する（バラス）,かいたいする（ばらす）,ပဖှိြုံဖ က်သည်,"か た わ く       かいたい
型枠を解体する（バラス）",ပု စ  ွက်သောင်ကုှိပဖှိြုံဖ က်သည်
25,かぶり寸法,かぶりすんぽう,သ သ  ာင််းကှိုအုပ်သည်ဲ့ ကွန်ကရစ်၏ အထူ,"て っ き ん       か た わ く                             す ん ぽ う        か く に ん
鉄筋と型枠のかぶり寸法を確認する",သ သ  ာင််းကုှိအုပ်သည်ဲ့ ကွန်ကရစ်၏ အထူကှို အတည်ခပြုံစစ်သဆ်းသည်
"だい       か   てっきんせ こ う
第17課 鉄筋施工①",,,,,
သင ခန ်းစာ ၁၇။ သံဆင လိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,異形棒鋼,いけいぼうこう,ပု သဏ္ဍာန်မတူည သည်ဲ့ သ သ  ာင််းမ ာ်း,"い  け  い ぼ う こ う       も ち
異形棒鋼を用いる",ပု သဏ္ဍာန်မတူည သည်ဲ့ သ သ  ာင််းမ ာ်းကှို အသု ်းခပြုံသည်
2,結束線,けっそくせん,တွ   ည်သည်ဲ့ကကှိြုံ်း,"け っ そ く せん        て っ き ん       し ば
結束線で鉄筋を縛る",တွ   ည်သည်ဲ့ကကှိြုံ်းခဖင်ဲ့ သ တှိုင်ကုှိ  ည်သည်
3,結束工具,けっそくこうぐ,  ည်သန္ ာင်သည်ဲ့ကှိရှိယာ,"け っ そ く  こ   う   ぐ        も ち              て っ き ん       し ば
結束工具を用いて鉄筋を縛る",  ည်သန္ ာင်သည်ဲ့ကှိရှိယာကုှိ အသု ်းခပြုံ၍ သ တုှိင်ကှို  ည်သည်
4,鉄筋切断機,てっきんせつだんき,သ သ  ာင််းခဖတ်စက်,"て っ き ん せ  つ  だ  ん  き         て っ き ん       せつだん
鉄筋切断機で鉄筋を切断する",သ သ  ာင််းခဖတ်စက်ခဖင်ဲ့ သ သ  ာင််းကှိုခဖတ်သည်
5,鉄筋曲げ加工機,てっきんまげかこうき,သ သ  ာင််းသကွ်းစက်,"て っ き ん   ま           か  こ  う    き          て っ き ん         ま
鉄筋曲げ加工機で鉄筋を曲げる",သ သ  ာင််းသကွ်းစက်ခဖင်ဲ့ သ သ  ာင််းကှိုသကွ်းသည်
6,フック,ふっく,သ သ  ာင််းအဖ ာ်းရှိ သကွ်းထာ်းသည်ဲ့အပှိုင််း,"て っ き ん た  ん  ぶ
鉄筋端部にフックをつける",သ သ  ာင််းအဖ ာ်းကှို သကွ်းထာ်းသည်
7,保護帽（ヘルメット）,ほごぼう（へるめっと）,ကာကွယ်သရ်းဥ ်းထုပ် (Helmet),"ほ     ご   ぼ う                             さ ぎ ょ う          と           か
保護帽をかぶり作業に取り掛かる",ကာကွယ်သရ်းဥ ်းထုပ်ကုှိသဆာင််း၍ အလုပ်လုပ်သည်
8,アンカー,あんかー,ကွန်ကရစ်မ အစွန််းထွက်သ သ  ာင််း,"せ  っ  ち
アンカーを設置する",ကွန်ကရစ်မ အစွန််းထွက်သ သ  ာင််းကှိုတ ပ်ဆင်သည်
9,加工場,かこうば,အလုပ်ရု ,"げ  ん  ば はんにゅうまえ        か  こ  う   ば           て っ き ん         か  こ  う
現場搬入前に加工場で鉄筋を加工
する",လုပ်ငန််း ွင်သှိုဲ့ သယ်မသွာ်းမ  အလုပ်ရု ၌ သ သ  ာင််းကှို ပု သွင််းသည်
"だい       か   てっきんせ こ う
第17課 鉄筋施工①",,,,,
သင ခန ်းစာ ၁၇။ သံဆင လိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
10,スペーサ―,すぺーさー,ကွန်ကရစ်သလာင််း ှိ န် သ သ  ာင််းမလှုပ်ရန်န္ င်ဲ့ သ သ  ာင််း၏ ကွန်ကရစ် အတွင််းရှိ  အနက်ကှို ထှိန််းရန် သု ်းသည်ဲ့ပစစည််း,"て っ き ん                             あ つ              た も
鉄筋のかぶり厚さを保つためスペー
つか
サーを使う","သ သ  ာင််း၏
ကွန်ကရစ်အတွင််းရှိ အနက်ကုှိ ထှိန််းရန် စသပဲ့ဆာ ကှိုသု ်းသည်"
11,ドーナツ,どーなつ,"သ သ  ာင််း၏ ကွန်ကရစ် အတွင််းရှိ  အနက်ကုှိ ထှိန််းရန် သ သ  ာင််းတွင်
တပ်သည်ဲ့ ပလပ်စတစ်ခပာ်း","かべ        て っ き ん                      あ つ                                                つか
壁の鉄筋かぶり厚さはドーナツを使う",န ရ သ သ  ာင််း၏ ကွန်ကရစ် အတွင််းရှိ အနက်ကုှိ ထှိန််းရန် ဒှို်းနပ်ကုှိသု ်းသည်
12,加工配筋図,かこうはいきんず,သ ကူကွန်ကရစ် တည်သဆာက်ရန်ပု ,"か  こ  う は い き ん   ず   ど お              く  み  た
加工配筋図通りに組立てる",သ ကူကွန်ကရစ်တည်သဆာက်ရန်ပု အတှိုင််းတပ်ဆင်သည်
13,配筋詳細図,はいきんしょうさいず,သ ကူကွန်ကရစ် တည်သဆာက်ခ င််း အသသ်းစှိတ်ပု ,"は い き んしょうさい  ず   ど お             く み   た
配筋詳細図通りに組立てる",သ ကူကွန်ကရစ် တည်သဆာက်ခ င််း အသသ်းစှိတ်ပု အတှိုင််းတပ်ဆင်သည်
14,開口補強筋,かいこうほきょうきん,အသပါက် အာ်းကူသ သ  ာင််း,"ま ど か い こ う   ぶ          か い こ う ほ き ょ う き ん       ぐ み   た
窓開口部は開口補強筋を組立てる",ခပြူတင််းသပါက်သနရာတွင် အသပါက် အာ်းကူသ သ  ာင််းကှို တပ်ဆင်သည်
15,幅止め筋,はばどめきん,"သ သောင်၏အက ယ် ပငှိမ်သစရန် ကန်ဲ့လန်ဲ့
  ထာ်းသည်ဲ့ သ သ  ာင််း","はば   ど          き ん         と          つ
幅止め筋を取り付ける",သ သောင်၏အက ယ် ပငှိမ်သစရန် ကန်ဲ့လန်ဲ့   ထာ်းသည်ဲ့ သ သ  ာင််းကုှိ တပ်ဆင်သည်
16,差筋,さしきん,(ကွန်ကရစ်တွင်) အစွန််းထွက်သ သ  ာင််းကှို စှိုက်သွင််းခ င််း,"さ し き ん
コンクリートに差筋をする",ကွန်ကရစ်တွင် အစွန််းထွက်သ သ  ာင််းကုှိ စှိုက်သွင််းသည်
17,柱主筋,はしらしゅきん,သကာ်လ တုှိင် အဓှိကသ တှိုင်,"はしらしゅきん       ぐ み   た
柱主筋を組立てる",သကာ်လ တှိုင် အဓှိကသ သ  ာင််းကှို တပ်ဆင်သည်
18,柱配筋,はしらはいきん,သကာ်လ တှိုင်အာ်း သထာက်ကန်သပ်းသည်ဲ့ သ သ  ာင််း,"はしらはいきん         ず   めん        か く に ん
柱配筋を図面で確認する",သကာ်လ တုှိင်အာ်း သထာက်ကန်သပ်းသည်ဲ့ သ သ  ာင််းကှို ပု စ ကာ်း  ပ်ကှိုကကည်ဲ့၍ အတည်ခပြုံစစ်သဆ်းသည်
"だい       か   てっきんせ こ う
第17課 鉄筋施工①",,,,,
သင ခန ်းစာ ၁၇။ သံဆင လိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
19,スラブ筋,すらぶきん,ကကမ််း င််းအတွင််းရှိ သ သ  ာင််း,"き ん        し ょ て い                                   く  み  た
スラブ筋を所定のピッチで組立てる",ကကမ််း င််းအတွင််းရှိ  သ သ  ာင််းကှို သတ်မ တ်ထာ်းသသာ အကွာအသဝ်းအတှိုင််း တပ်ဆင်သည်
20,ベース筋,べーすきん,သအာက်  သ သ  ာင််း,"き ん        く  み  た
ベース筋を組立てる",သအာက်  သ သ  ာင််းကှို တပ်ဆင်သည်
21,帯筋（フープ）,おびきん（ふーぷ）,သကာ်လ တုှိင်သ သ  ာင််းအာ်း ပတ်ထာ်းသည်ဲ့သ သ ွ,"おびき ん        く  み  た
帯筋を組立てる",သကာ်လ တုှိင်သ သ  ာင််းအာ်း ပတ်ထာ်းသည်ဲ့သ သ ွကှို တပ်ဆင်သည်
22,下端筋,したばきん,ရက်မရှိ သ သ ွ၏ သအာက်ေက်ရှိ  သ သ  ာင််း,"し  た  ば き ん        く  み  た
下端筋を組立てる",ရက်မရှိ သ သ ွ၏ သအာက်ေက်ရှိ သ သ  ာင််းကှို တပ်ဆင်သည်
23,上端筋,うわばきん,ရက်မရှိ သ သ ွ၏ အသပေါ်ေက်ရှိ  သ သ  ာင််း,"う  わ  ば き ん        く  み  た
上端筋を組立てる",ရက်မရှိ သ သ ွ၏ အသပေါ်ေက်ရှိ သ သ  ာင််းကှို တပ်ဆင်သည်
24,主筋,しゅきん,အဓှိကသ သ  ာင််း,"し ゅ き ん        く  み  た
主筋を組立てる",အဓှိကသ သ  ာင််းကှို တပ်ဆင်သည်
25,あばら筋,あばらきん,ရက်မ စသည်ဲ့ အလ ာ်းလှိုက် သနရာမ ာ်းတွင် သု ်းသည်ဲ့   သ သ  ာင််းငယ်,"き ん        く  み  た
あばら筋を組立てる","ရက်မ စသည်ဲ့ အလ ာ်းလုှိက် သနရာမ ာ်းတွင် သု ်းသည်ဲ့
သ သ  ာင််းငယ်ကှို တပ်ဆင်သည်"
"だい       か   てっきんせ こ う
第18課 鉄筋施工②",,,,,
သင ခန ်းစာ ၁၈။ သံဆင လိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,はかま筋,はかまきん,သ ဆင်ရာတွင် အသပေါ်ေက်ခ မ််းရှိ သ သ  ာင််း,"き ん        く  み  た
はかま筋を組立てる",အသပေါ်ေက်ခ မ််းရှိ  သ သ  ာင််းကုှိ တပ်ဆင်သည်
2,縦筋,たてきん,သဒါင်လှိုက်သ သ  ာင််း,"た て き ん        く  み  た
縦筋を組立てる",သဒါင်လုှိက်သ သ  ာင််းကှို တပ်ဆင်သည်
3,下筋,したきん,ရက်မ၏ သအာက်ပှိုင််းရှိ သ သ  ာင််း,"し た き ん        く  み  た
下筋を組立てる",ရက်မ၏ သအာက်ပှိုင််းရှိ  သ သ  ာင််းကှို တပ်ဆင်သည်
4,横筋,よこきん,အလ ာ်းလုှိက်သ သ  ာင််း,"よ こ き ん        く  み  た
横筋を組立てる",အလ ာ်းလုှိက်သ သ  ာင််းကှို တပ်ဆင်သည်
5,腹筋,はらきん,အဓှိကသ တှိုင်န္ င်ဲ့အပပှိြုံင် ထည်ဲ့သွင််းထာ်းသည်ဲ့  သ သ  ာင််း,"は ら き ん        く  み  た
腹筋を組立てる",အဓှိကသ တုှိင်န္ င်ဲ့အပပှိြုံင် ထည်ဲ့သွင််းထာ်းသည်ဲ့ သ သ  ာင််းကှို တပ်ဆင်သည်
6,配力筋,はいりょくきん,အဓှိကသ တှိုင်န္ င်ဲ့  သထာင်ဲ့မ န်အသနအထာ်း တွယ်ဆက်သည်ဲ့ သ သ  ာင််း,"はいりょくきん        く  み  た
配力筋を組立てる","အဓှိကသ တုှိင်န္ င်ဲ့ သထာင်ဲ့မ န်အသနအထာ်း
တွယ်ဆက်သည်ဲ့ သ သ  ာင််းကုှိ တပ်ဆင်သည်"
7,上筋,うわきん,ရက်မ၏ အသပေါ် ပှိုင််းရှိ သ သ  ာင််း,"う わ き ん        く  み  た
上筋を組立てる",ရက်မ၏ အသပေါ် ပှိုင််းရှိ  သ သ  ာင််းကုှိ တပ်ဆင်သည်
8,スパイラル筋,すぱいらるきん,စပရင်ကဲ့ သုှိဲ့ ရစ်သ ွသည်ဲ့ ပု စ ရှိ  သ သ  ာင််း,"き ん        た い し んへ き          と           つ
スパイラル筋を耐震壁に取り付ける",စပရင်ကဲ့ သှိုဲ့ ရစ်သ ွသည်ဲ့ ပု စ ရှိ                                                          သ သ  ာင််းကှို ငလ င်ဒဏ်  န ရ တွင် တပ်ဆင်သည်
9,鉄筋径,てっきんけい,သ သောင်၏အ  င််း,"て っ き ん け い        せ っ け い  と   し   ょ         と お
鉄筋径は設計図書の通りである",သ သောင်၏အ  င််းသည် ဒ ဇှိုင််းပု စာအုပ် အတှိုင််းခဖစ်သည်
10,かぶり厚さ,かぶりあつさ,"သ သ  ာင််းကှို
ဖု ်းအုပ်ထာ်းသသာ ကွန်ကရစ်၏ အထူ","あ つ              か く に ん
かぶり厚さを確認する",သ သ  ာင််းကုှိ ဖု ်းအုပ်ထာ်းသသာ ကွန်ကရစ်၏ အထူကှို အတည်ခပြုံစစ်သဆ်းသည်
"だい       か   てっきんせ こ う
第18課 鉄筋施工②",,,,,
သင ခန ်းစာ ၁၈။ သံဆင လိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
11,角度,かくど,သထာင်ဲ့,"か  く  ど        か く に ん
角度を確認する",သထာင်ဲ့ကှို အတည်ခပြုံစစ်သဆ်းသည်
12,シングル,しんぐる,(သ တုှိင်) တစ်တန််း,"て っ き ん                                   は い き ん         く  み  た
鉄筋はシングル配筋で組立てる",သ သောင်ကုှိ သ တုှိင်တစ်တန််းတည််းခဖင်ဲ့ တပ်ဆင်သည်
13,ダブル,だぶる,(သ တှိုင်) န္ စ်တန််း,"は い き ん
スラブはダブル配筋とする",ကကမ််းခပင်ကှို သ တှိုင်န္ စ်တန််းခဖင်ဲ့ လုပ်သည်
14,千鳥結束,ちどりけっそく,"ကကက်သခ  တ်
  ည်သန္ ာင်ခ င််း","て っ き ん        ち   ど  り  け っ そ く
鉄筋は千鳥結束する","သ သ  ာင််းကှို ကကက်သခ  တ်
  ည်သန္ ာင်သည်"
15,切断寸法,せつだんすんぽう,ခဖတ်သတာက်မည်ဲ့ အရ ည်,"せつだんす ん ぽ う        て っ き ん       せつだん
切断寸法で鉄筋を切断する",ခဖတ်သတာက်မည်ဲ့ အရ ည်အတုှိင််း သ သ  ာင််းကှို ခဖတ်သည်
16,加工寸法,かこうすんぽう,ခပြုံခပင်လုပ်သဆာင်မည်ဲ့ အတှိုင််းအတာ,"か  こ  う  す ん ぽ うど お             て っ き ん        か  こ  う
加工寸法通りに鉄筋を加工する",ခပြုံခပင်လုပ်သဆာင်မည်ဲ့ အတုှိင််းအတာအတုှိင််း သ သ  ာင််းကှို ခပြုံခပင်လုပ်သဆာင်သည်
17,重ね継手,かさねつぎて,သ သ  ာင််း ၂ သ  ာင််း၏  အဖ ာ်းကုှိ ထပ်၍ ဆက်ခ င််း,"て っ き ん  ど  う  し         か さ         つ  ぎ  て
鉄筋同士は重ね継手とする",သ သ  ာင််းအ  င််း  င််းကုှိ အဖ ာ်းကုှိ ထပ်၍ဆက်သည်
18,圧接継手,あっせつつぎて,ဖှိအာ်းခဖင်ဲ့ တွယ်ဆက်ခ င််း,"て っ き ん  ど  う  し        あ っ せ つ つ  ぎ  て
鉄筋同士は圧接継手とする",သ သ  ာင််းအ  င််း  င််းကှို ဖှိအာ်းခဖင်ဲ့ တွယ်ဆက်သည်
19,開口部,かいこうぶ,သ သောင်ဆင်ရာတွင် အလယ်၌   န်ထာ်း  ဲ့ သည်ဲ့ အသပါက်,"か  い  こ  う  ぶ               か い こ う ほ き ょ う き ん         と          つ
開口部には開口補強筋を取り付ける",အသပါက်သနရာတွင် အသပါက် အာ်းကူသ တုှိင်ကှို တပ်ဆင်သည်
20,溶接金網,ようせつかなあみ,ဂသဟဆက်ထာ်းသသာ သ သ  ာင််း ဆန် ါကွက်,"ど     ま   は い き ん        よ う せ つ かなあみ        し  よ   う
土間配筋は溶接金網を使用する",ကကမ််းခပင် သ သ  ာင််းဆင်ရာတွင် ဂသဟဆက်ထာ်းသသာ သ သ  ာင််း ဆန် ါကွက်ကှို သု ်းသည်
"だい       か   てっきんせ こ う
第18課 鉄筋施工②",,,,,
သင ခန ်းစာ ၁၈။ သံဆင လိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
21,搬出,はんしゅつ,(ပစစည််း) ထုတ်ခ င််း,"の こ              て っ き ん        げ  ん  ば              はんしゅつ
残った鉄筋を現場から搬出する",က န်သနသသာ သ တှိုင်မ ာ်းကှို လုပ်ငန််း ွင်မ  ခပန်သယ်ထုတ်သည်
22,搬入,はんにゅう,(ပစစည််း) သွင််းခ င််း,"て っ き ん        げ  ん  ば        はんにゅう
鉄筋を現場に搬入する",သ တုှိင်မ ာ်းကှို လုပ်ငန််း ွင်သှိုဲ့ သယ်သွင််းလာသည်
23,基礎,きそ,သအာက်သခ  သဖာင်သဒ်းရ င််း,"き     そ          は い き ん
基礎の配筋をおこなう",သအာက်သခ  သဖာင်သဒ်းရ င််း၏ သ သောင်ကှို ဆင်သည်
24,機械式継手,きかいしきつぎて,သ သ  ာင််း ၂ သ  ာင််းကှို စက်ကုှိသု ်း၍ ဆက်ခ င််း,"て っ き ん  ど  う  し         き  か  い  し  き  つ  ぎ  て
鉄筋同士は機械式継手とする",သ သ  ာင််းအ  င််း  င််းကှို စက်ကှိုသု ်း၍ တွယ်ဆက်သည်
25,配筋検査,はいきんけんさ,သ သောင်ဆင်ပပ ်းသနာက် စစ်သဆ်းမှု,"せ っ け い か ん り し ゃ                    は い き ん け  ん  さ         ご う か く
設計監理者による配筋検査に合格す
る","ဒ ဇှိုင််းကက ်းကကပ်သူမ 
သ သောင်စစ်သဆ်းခ င််းကှို သအာင်ခမင်သည်"
"だい       か   けんせつきかいせ こ う
第19課建設機械施工①",,,,,
သင ခန ်းစာ ၁၉။ ခဆာက လိုြ ခရ်းစက က ရ ယာလိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
1,トラクタ,とらくた,ထွန်စက် (Tractor),,
2,ブルドーザ,ぶるどーざ,သခမထုှိ်းစက် (ေူဒှိုဇာ),,
3,トラクタショベル,とらくたしょべる,ထရက်တာသရ ာ်ဗယ် (Tractor shovel),,
4,ホイルローダ,ほいるろーだ,ကာ်းေ ်းခဖင်ဲ့သွာ်းသသာ ထရက်တာသရ ာ်ဗယ်ကာ်း,,
5,ダンプトラック,だんぷとらっく,သခမသက ာက်သယ်ကာ်း (Dump truck),,
6,油圧ショベル,ゆあつしょべる,ဟုှိက်ဒသရာလစ်သရ ာ်ဗယ် (Hydraulic shovel),,
7,バックホウ,ばっくほう,ေက်ဟုှိ်း,,
8,ローディングショベル,ろーでぃんぐしょべる,သခမသက ာက်တင်ဖှိုဲ့ရာတွင်သု ်းသသာ ဟှိုက်ဒသရာလစ် သရ ာ်ဗယ် (Loading shovel),,
"だい       か   けんせつきかいせ こ う
第19課建設機械施工①",,,,,
သင ခန ်းစာ ၁၉။ ခဆာက လိုြ ခရ်းစက က ရ ယာလိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
9,ローラ,ろーら,တလှိမ်ဲ့တု ်း (ရုှိလာ),,
10,バケット,ばけっと,သခမသက ာက်သယ် ွက် (Bucket),,
11,ブーム,ぶーむ,"ကရှိန််း၊သရ ာ်ဗယ်ကာ်း စသည်တှိုဲ့၏ လက်တ  အရင််းပှိုင််း
(Boom)",,
12,アーム,あーむ,"ကရှိန််း၊သရ ာ်ဗယ်ကာ်း စသည်တှိုဲ့၏ လက်တ  အဖ ာ်းပှိုင််း
(Arm)",,
13,ブレード（排土板）,ぶれーど（はいどばん）,သခမတွန််းသရ ွဲ့သည်ဲ့ ေလှိတ်ခပာ်း,,
14,タイヤ,たいや,ေ ်း၊ တာယာ,,
15,クローラ,くろーら,ယာဥ်၏ေ ်းမ ာ်းကှိုပတ်၍ လှိမ်ဲ့သသာ (သရာ်ော)  ှိ န််း ါ်းပတ်ခပာ်း,,
16,キー（鍵）,きー（かぎ）,သသာဲ့,,
17,"作業装置
（アタッチメント）","さぎょうそうち
（あたっちめんと）",လုပ်ငန််းသု ်း တပ်ဆင်စရာ ကှိရှိယာ (Attachment),,
18,エンジン,えんじん,အင်ဂ င်စက်,,
19,ディーゼルエンジン,でぃーぜるえんじん,ဒ ဇယ်အင်ဂ င်စက်,,
"だい       か   けんせつきかいせ こ う
第19課建設機械施工①",,,,,
သင ခန ်းစာ ၁၉။ ခဆာက လိုြ ခရ်းစက က ရ ယာလိုြ ငန ်း (၁),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,,
20,エンジンオイル,えんじんおいる,အင်ဂ င်ဝှိုင်၊အင်ဂ င်ဆ ,,
21,"オルタネータ
（充電発電機）","おるたねーた
（じゅうでんはつでんき）",ခပန်လ န်လျှပ်ထုတ်စက် (သအာ်လ်တာသနတာ),,
22,バッテリ,ばってり,ေက်ထရ အုှိ်း၊ဓာတ်  ,,
23,燃料,ねんりょう,သလာင်စာဆ ,,
24,軽油,けいゆ,ဒ ဇယ်ဆ ,,
25,ブレーキ,ぶれーき,ေရှိတ်,,
"だい       か   けんせつき か い せ こ う
第20課 建設機械施工②",,,,,
သင ခန ်းစာ ၂၀။ ခဆာက လိုြ ခရ်းစက က ရ ယာလိုြ ငန ်း (၂),,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,油圧シリンダ,ゆあつしりんだ,ဟှိုက်ဒသရာလစ် ဆလင်ဒါ,,
2,油圧モータ,ゆあつもーた,ဟှိုက်ဒသရာလစ် သမာ်တာ,,
