番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
Pelajaran 20   Konstruksi Dengan Mesin Konstruksi ②,,,,,,インドネシア語
No.,Kosakata,Cara membaca (Hiragana),Terjemahan,,,インドネシア語
14,アイドリング,あいどりんぐ,Keadaan saat mesin bekerja tetapi kendaraan (mobil) tidak bergerak.,,,インドネシア語
15,走行,そうこう,Berjalan/Melaju,,,インドネシア語
16,旋回,せんかい,Putaran,,,インドネシア語
17,安全ロック,あんぜんろっく,Alat pelindung bahaya,,,インドネシア語
18,安全支柱,あんぜんしちゅう,Safety pillar (Tiang pengaman),,,インドネシア語
19,補給（する）,ほきゅう（する）,Suplai (Mensuplai),,,インドネシア語
20,駐車（する）,ちゅうしゃ（する）,Parkir (Memarkirkan),,,インドネシア語
21,歩行者,ほこうしゃ,Pejalan kaki,,,インドネシア語
22,車両,しゃりょう,Kendaraan,,,インドネシア語
23,死角,しかく,Titik buta (Posisi tidak terlihat),,,インドネシア語
24,斜面,しゃめん,Lereng,,,インドネシア語
25,転圧（する）,てんあつ（する）,Giling (Menggiling),,,インドネシア語
"だい       か   さぎょうど う し
第21課 作業動詞①",,,,,,インドネシア語
Pelajaran 21  Kata Kerja Bidang Kerja ①,,,,,,インドネシア語
No.,Kosakata,Cara membaca (Hiragana),Terjemahan,,,インドネシア語
1,接触（する）,せっしょく（する）,Tabrak (Menabrak),,,インドネシア語
2,作動（する）,さどう（する）,Hidup (Menghidupkan),,,インドネシア語
3,整備（する）,せいび（する）,Perbaikan (Memperbaiki),,,インドネシア語
4,点検（する）,てんけん（する）,Periksa (Memeriksa),,,インドネシア語
5,動かす,うごかす,Menggerakkan,,,インドネシア語
6,運転（する）,うんてん（する）,Kemudi (Mengemudi),,,インドネシア語
7,測る,はかる,Mengukur,,,インドネシア語
8,操作（する）,そうさ（する）,Operasi (Mengoperasikan),,,インドネシア語
9,停止（する）,ていし（する）,Henti (Menghentikan),,,インドネシア語
10,切る,きる,Memotong,,,インドネシア語
11,回す,まわす,Memutar,,,インドネシア語
12,押す,おす,Mendorong,,,インドネシア語
13,集める,あつめる,Mengumpulkan,,,インドネシア語
14,触る,さわる,Menyentuh,,,インドネシア語
15,縛る,しばる,Mengikat,,,インドネシア語
16,揃える,そろえる,Menyamaratakan,,,インドネシア語
17,結ぶ,むすぶ,Mengikat,,,インドネシア語
18,しゃがむ,しゃがむ,Berjongkok,,,インドネシア語
19,調整（する）,ちょうせい（する）,"Penyesuaian
(Menyesuaikan)",,,インドネシア語
20,閉じる,とじる,Menutup,,,インドネシア語
"だい       か   さぎょうど う し
第22課 作業動詞②",,,,,,インドネシア語
Pelajaran 22   Kata Kerja Bidang Kerja ②,,,,,,インドネシア語
No.,Kosakata,Cara membaca (Hiragana),Terjemahan,Annotasyon,Contoh,インドネシア語
1,取り出す,とりだす,Mengeluarkan,,,インドネシア語
2,戻す,もどす,Mengembalikan,,"つか               こ   う   ぐ         も と         ば  し   ょ         も ど
使った工具は元の場所に戻す",インドネシア語
3,仕上げる,しあげる,Menyelesaikan,,,インドネシア語
4,折れる,おれる,Patah,,"く ぎ           お
釘が折れる",インドネシア語
5,欠ける,かける,Sumbing (Patah),,"ま る                        は             か
丸のこの刃が欠ける",インドネシア語
6,近づく,ちかづく,Mendekat,,"さぎょ うち ゅう        じ ゅ う き        ち か
作業中の重機に近づかない",インドネシア語
7,電源を入れる,でんげんをいれる,Menghidupkan listrik,,,インドネシア語
8,電源を落とす,でんげんをおとす,Mematikan listrik,,,インドネシア語
9,スイッチを切る,すいっちをきる,Mematikan saklar,,,インドネシア語
10,固定（する）,こてい（する）,Fiksasi (Menguatkan),,,インドネシア語
11,ゆるめる,ゆるめる,Mengendurkan,,ボルトをゆるめる,インドネシア語
12,伸ばす,のばす,Memanjangkan,,,インドネシア語
13,外す,はずす,Melepas,,"あ ん ぜん                             は ず
安全カバーを外す",インドネシア語
14,曲げる,まげる,Membengkokkan,,"て っ き ん          ま
鉄筋を曲げる",インドネシア語
15,出す,だす,Mengeluarkan,,,インドネシア語
16,乾かす,かわかす,Mengeringkan,,,インドネシア語
17,数える,かぞえる,Menghitung,,,インドネシア語
18,運ぶ,はこぶ,Membawa,,,インドネシア語
19,積む,つむ,Menumpuk,,"ざいりょう                                                               つ
材料をくずれないように積む",インドネシア語
20,下ろす,おろす,Menurunkan,,"に  だ  い                に  も  つ          お
トラックの荷台から荷物を下ろす",インドネシア語
21,離れる,はなれる,Menjauhi,,,インドネシア語
"だい       か   そくてい
第23課測定",,,,,,インドネシア語
Pelajaran 23   Pengukuran,,,,,,インドネシア語
No.,Kosakata,Cara membaca (Hiragana),,,,インドネシア語
1,位置,いち,,,,インドネシア語
2,寸法,すんぽう,,,,インドネシア語
3,測定（する）,そくてい（する）,,,,インドネシア語
4,計測（する）,けいそく（する）,,,,インドネシア語
5,計測器,けいそくき,,,,インドネシア語
6,温度,おんど,,,,インドネシア語
7,高さ,たかさ,,,,インドネシア語
8,長さ,ながさ,,,,インドネシア語
9,重さ,おもさ,,,,インドネシア語
10,厚さ,あつさ,,,,インドネシア語
11,硬さ,かたさ,,,,インドネシア語
12,深さ,ふかさ,,,,インドネシア語
13,表面,ひょうめん,,,,インドネシア語
14,すきま,すきま,,,,インドネシア語
15,中心,ちゅうしん,,,,インドネシア語
"だい       か   そくてい
第23課測定",,,,,,インドネシア語
Pelajaran 23   Pengukuran,,,,,,インドネシア語
No.,Kosakata,Cara membaca (Hiragana),,,,インドネシア語
16,値,あたい,,,,インドネシア語
17,安定（する）,あんてい（する）,,,,インドネシア語
18,大きさ,おおきさ,,,,インドネシア語
19,数,かず,,,,インドネシア語
20,誤差,ごさ,,,,インドネシア語
21,中,なか,,,,インドネシア語
22,反対,はんたい,,,,インドネシア語
23,周り,まわり,,,,インドネシア語
24,尺,しゃく,,,,インドネシア語
25,青,あお,,,,インドネシア語
26,赤,あか,,,,インドネシア語
27,白,しろ,,,,インドネシア語
28,黄色,きいろ,,,,インドネシア語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,インドネシア語
Pelajaran 24   Kolom Berbagai Ungkapan Bahasa Jepang,,,,,,インドネシア語
"げんば                          こと             ひょうげん
１． 現場によって異なる表現
にほん                    ちほう                               おな      いみ                   こと             ひょうげん                                                               ほうげん           い                        たと             した                        れい                                              ぎもん           おも
日本では、地方によって、同じ意味でも異なる表現をすることがあります。「方言」と言います。例えば下のような例がありますので、疑問に思うことがあった
いっしょ         はたら  ひと       たず
ら、一緒に働く人に尋ねてみましょう。",,,,,,インドネシア語
"1. Ungkapan menurut bidang kerja.
Di Jepang ungkapan berbeda-beda menurut bidang kerjanya. Disebut juga sebagai “dialek”. Misalnya  seperti yang tertulis di
bawah ini, bila ada pertanyaan mari kita bertanya kepada orang yang bekerja bersama kita.",,,,,,インドネシア語
No.,Kosakata,Cara membaca (Hiragana),,,,インドネシア語
1,片づける,かたづける,,,,インドネシア語
2,捨てる,すてる,,,,インドネシア語
3,掃く,はく,,,,インドネシア語
4,持ち上げる,もちあげる,,,,インドネシア語
5,束ねる,たばねる,,,,インドネシア語
6,足をくじく,あしをくじく,,,,インドネシア語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,インドネシア語
Pelajaran 24   Kolom Berbagai Ungkapan Bahasa Jepang,,,,,,インドネシア語
"げんば                          こと             ひょうげん
2． 現場によって異なる表現
けんせつげんば           つか     どうぐ               ちほう        ねんだい       かいしゃ                            おな                              ちが     よ          かた                                                            たと             した                        れい                                 みな                  げんば          つか     ひょ
建設現場で使う道具は、地方、年代や会社によって、同じものでも違う呼び方をすることがあります。例えば下のような例があります。皆さんの現場で使う表
うげん                          おぼ                           べんり
現をメモして覚えておくと便利です。",,,,,,インドネシア語
"2. Ungkapan menurut bidang kerja.
Nama-nama atau penyebutan peralatan yang digunakan di tempat kerja konstruksi kadang berbeda tergantung daerah, generasi dan komunitasnya. Misalnya seperti yang tertulis di bawah ini. Mudah bila bila kita mencatat dan menghafal ungkapan-ungkapan ini untuk penggunaan di tempat kerja kita.",,,,,,インドネシア語
No.,Kosakata,Cara membaca (Hiragana),,,,インドネシア語
1,一輪車,いちりんしゃ,,,,インドネシア語
2,支柱,しちゅう,,,,インドネシア語
3,ショベル,しょべる,,,,インドネシア語
4,かけや,かけや,,,,インドネシア語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,インドネシア語
Pelajaran 24   Kolom Berbagai Ungkapan Bahasa Jepang,,,,,,インドネシア語
"けんせつげんば         どくとく          ひょうげん
3． 建設現場の独特な表現
けんせつげんば           いちばんたいせつ                    あんぜん                                            きけん           とき                                    きけん                                                   こうどう                         とき           おおごえ        こえ                                              きび          ど  な
建設現場で一番大切なのは安全です。そのため、危険な時や、あなたが危険につながりそうな行動をとった時は、大声で声をかけられたり、厳しく怒鳴られ
いっしょ         はたら  ひと                   あんぜん       まも                          ことば                                                                                                        けっ                                    ばとう
ることがあります。それらはあなたや、あなたと一緒に働く人たちの安全を守るための言葉です。びっくりするかもしれませんが、決してあなたを罵倒するため
ことば                                                  あんぜん       こころがけ              じこ              お                                     ちゅうい                               ひじょうじたい                   きんきゅうせい       たか       ばあい             とく        ひょうげん      みじ     つよ                                  おお
の言葉ではありません。安全に心掛けて、事故を起こさないよう注意しましょう。非常事態など緊急性が高い場合は、特に表現が短く強くなる                                                                                                                               ことが多いで
す。",,,,,,インドネシア語
"3.Ungkapan khusus di lapangan bidang kerja konstruksi
Di lapangan kerja bidang konstruksi yang terpenting adalah keselamatan. Untuk itu apabila ada hal-hal yang berbahaya, atau anda melakukan hal-hal yang dapat menimbulkan bahaya akan ditegur, dibentak dengan suara keras.  Teguran tersebut bertujuan untuk menjaga keselamatan kita bersama. Mungkin anda akan kaget mendengarnya, tetapi itu bukan berarti penghinaan terhadap anda. Tetapi untuk mengingatkan kita agar selamat. Mari kita berhati-hati jangan sampai menimbulkan kecelakaan. Pada kasus yang sifatnya darurat atau mendesak kerap kali ungkapannya pendek dan keras.",,,,,,インドネシア語
Tabel keluar,,,,,,インドネシア語
ぼんやりするな！ケガするぞ。,,,,,,インドネシア語
"あぶ
ばかやろう！危ない！",,,,,,インドネシア語
"なに                                        あぶ                           もど
何やってんだ。危ないぞ。戻れ！",,,,,,インドネシア語
"もど
いいから、戻ってこい！",,,,,,インドネシア語
"かって              なか         はい
勝手に中に入るな！",,,,,,インドネシア語
"だ い           か                             に   ほ   ん   ご                                            ひょうげん
第24課コラム  日本語のいろいろな表現",,,,,,インドネシア語
Pelajaran 24   Kolom Berbagai Ungkapan Bahasa Jepang,,,,,,インドネシア語
"しつもん     かくにん
4．質問・確認することの大切さ
さぎょう         まえ       かなら    しつもん                かくにん                                                                                さぎょう                       じこ               お               かのうせい            たか                                         きけん                    に
わからないことがあったら、作業の前に必ず質問して、確認してください。わからないまま作業すると、事故が起きる可能性が高くなって、と                                                                                                                               ても危険です。日
ほん       しょくば                あんぜん       かん            しつもん                                   は                                                                                   せっきょくてき        しつもん                あんぜん       さぎょう
本の職場では安全に関する質問をすることは恥ずかしいことではありません。積極的に質問して、安全に作業しましょう。",,,,,,インドネシア語
"4. Pentingnya bertanya dan memastikan.
Mohon pastikan betul bila ada pertanyaan dan hal yang belum dipahami. Bila membiarkan bekerja dalam keadaan tidak paham, maka besar kemungkinan menimbulkan kecelakaan yang amat berbahaya. Di dalam tempat kerja di Jepang bertanya hal terkait keselamatan bukan hal yang tabu. Mari kita bekerja dan bertanya secara akftif.",,,,,,インドネシア語
Tabel keluar,,,,,,インドネシア語
どうしてですか。,,,,,,インドネシア語
これでいいですか。,,,,,,インドネシア語
"いちど              ねが
すみません。もう一度お願いします。",,,,,,インドネシア語
"つか                                             いちど       おし
これはどうやって使いますか。もう一度教えてください。",,,,,,インドネシア語
"まる
すみません。「丸のこ」ってどれですか。",,,,,,インドネシア語
"いみ
「ケレンがけ」ってどういう意味ですか。",,,,,,インドネシア語
1,,,အလုပ်သင်တန််း,,,ミャンマー語
2,,,အလုပ်သင်,,,ミャンマー語
3,,,စက်ရု ,,,ミャンマー語
4,,,ထုတ်လုပ်မှု,,,ミャンマー語
5,,,စက်,,,ミャンマー語
6,,,လု ခ  ြုံမှု,,,ミャンマー語
7,,,အန္တရာယ်(ရှိ သသာ),,,ミャンマー語
8,,,အန္တရာယ်ရှိ သည်,,,ミャンマー語
9,,,သန်ဲ့ရ င််းသရ်းလုပ်ခ င််း (Sei-sou),,,ミャンマー語
10,,,အသရ်းသပေါ်ထွက်သပါက်,,,ミャンマー語
11,,,သတှိ,,,ミャンマー語
12,,,မ ်းသလာင်မှု,,,ミャンマー語
13,,,မသတာ်တဆမှု,,,ミャンマー語
14,,,အဝတ်အစာ်း,,,ミャンマー語
15,,,အန္တရာယ်ကင််းရ င််းသရ်းကှိရှိ ယာ,,,ミャンマー語
"だ い       か       き     そ
第2課基礎30",,,,,,ミャンマー語
အခန ်း ၂ အခ ခခံ ၃၀,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,လု ခ  ြုံသရ်းကာဗာအဖု ်း,,,ミャンマー語
2,,,ဒဏ်ရာ,,,ミャンマー語
3,,,ဒဏ်ရာရသည်,,,ミャンマー語
4,,,လျှပ်စစ်ပါဝါ,,,ミャンマー語
5,,,လျှပ်စစ်ပါဝါပှိတ်သည်,,,ミャンマー語
6,,,အသရ်းသပေါ်စက်ရပ်တန်ဲ့ လုတ်,,,ミャンマー語
7,,,အသရ်းသပေါ်စက်ရပ်တန်ဲ့ လုတ်ကှို န္ှိ ပ်သည်,,,ミャンマー語
8,,,စည််းကမ််း,,,ミャンマー語
9,,,စည််းကမ််းလှိုက်နာသည်,,,ミャンマー語
10,,,ရပ်သည်,,,ミャンマー語
11,,,စက်ကှို ရပ်သည်,,,ミャンマー語
12,,,လုပ်ပါ,,,ミャンマー語
13,,,ရပ်ပါ,,,ミャンマー語
14,,,ယူပါ,,,ミャンマー語
15,,,မလုပ်သင်ဲ့(သသာ),,,ミャンマー語
"だい    か   ざいりゅうしかく   ろうどうけいやく
第3課在留資格、労働契約1",,,,,,ミャンマー語
အခန ်း ၃ ဗီဇာအမျ ျု်းအစာ်း၊ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၁,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,စ မ ကွပ်က သရ်းအဖွ ွဲ့,,,ミャンマー語
2,,,နည််းပညာလ  သခပာင််းခ င််း,,,ミャンマー語
3,,,အလုပ်သင်တန််းကာလ,,,ミャンマー語
4,,,အလုပ်အကှိုင်အမှိ ြုံ်းအစာ်း,,,ミャンマー語
5,,,ဗ ဇာအမှိ ြုံ်းအစာ်း,,,ミャンマー語
6,,,န္ှိုင်င ကူ်းလက်မ တ်,,,ミャンマー語
7,,,န္ှိုင်င ခ ာ်းသာ်းမ တ်ပု တင်က တ်,,,ミャンマー語
8,,,လဝက,,,ミャンマー語
9,,,ဗ ဇာသက်တမ််း,,,ミャンマー語
"だい    か   ざいりゅうしかく   ろうどうけいやく
第3課在留資格、労働契約1",,,,,,ミャンマー語
အခန ်း ၃ ဗီဇာအမျ ျု်းအစာ်း၊ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၁,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
10,,,"အလုပ် န်ဲ့ထာ်းသရ်းသသေ
းာတူစာ  ြုံပ်",,,ミャンマー語
11,,,လစာရ င််းတမ််းစာရွက်,,,ミャンマー語
12,,,လစာသငွ,,,ミャンマー語
13,,,အ ှိ န်ပှိုသကက်း,,,ミャンマー語
14,,,အလုပ် ှိ န်,,,ミャンマー語
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,,ミャンマー語
အခန ်း ၄ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၂၊ အခွန နှင့်  အာမခံ,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,န္ှုတ်ယူ(သည်),,,ミャンマー語
2,,,အပှိုဆုသကက်း,,,ミャンマー語
3,,,လုပ်သက် ွင်ဲ့,,,ミャンマー語
4,,,အစာ်းထှို်းနာ်းရက်,,,ミャンマー語
5,,,အလုပ်သမာ်းစ န္ှုန််းဥပသဒ,,,ミャンマー語
6,,,အလုပ်သမာ်း  စာ်း ွင်ဲ့,,,ミャンマー語
7,,,အ ွန်,,,ミャンマー語
8,,,ဝင်သငွ ွန်,,,ミャンマー語
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,,ミャンマー語
အခန ်း ၄ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၂၊ အခွန နှင့်  အာမခံ,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
9,,,စည်ပင် ွန်,,,ミャンマー語
10,,,အလုပ်ပင်စင်အာမ  ,,,ミャンマー語
11,,,အလုပ်အာမ  ,,,ミャンマー語
12,,,က န််းမာသရ်းအာမ  ,,,ミャンマー語
13,,,လူမှုဖူလု သရ်းအာမ  ,,,ミャンマー語
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,,ミャンマー語
အခန ်း ၄ အလိုြ ခန ထ့်   ာ်းခရ်းသခဘာတူစာချျုြ  ၂၊ အခွန နှင့်  အာမခံ,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
14,,,"လုပ်ငန််း ွင်
ထှိ ုှိက်ဒဏ်ရာရမှု",,,ミャンマー語
15,,,အလုပ်သမာ်းနစ်နာသကက်း အာမ  ,,,ミャンマー語
"だい    か   しゅうぎょう
第5課就業",,,,,,ミャンマー語
အခန ်း ၅ အလိုြ လိုြ  ခင ်း,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,အလုပ်သနာက်က (သည်),,,ミャンマー語
2,,,အလုပ်သစာခပန်(သည်),,,ミャンマー語
3,,,အနာ်းယူ(သည်),,,ミャンマー語
4,,,အ ှိ န်ပှိုအလုပ်(ဆင််းသည်),,,ミャンマー語
5,,,ပု မ န်အ ှိ န်,,,ミャンマー語
6,,,စည််းမ ဉ််းစည််းကမ််း,,,ミャンマー語
7,,,အလုပ်နာ်းရက်,,,ミャンマー語
8,,,အလုပ်စ ှိ န်,,,ミャンマー語
9,,,အလုပ်ပပ ်း ှိ န်,,,ミャンマー語
10,,,သင်တန််းမ ်း,,,ミャンマー語
11,,,သနထှိုင်မှုပု စ သလဲ့က င်ဲ့သပ်းသူ,,,ミャンマー語
12,,,တာဝန်  ,,,ミャンマー語
13,,, လုတ်မဖွင်ဲ့နဲ့ ,,,ミャンマー語
14,,, လုတ်မပှိတ်နဲ့ ,,,ミャンマー語
15,,,အသု ်းမခပြုံရ,,,ミャンマー語
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,,ミャンマー語
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,5S,,,ミャンマー語
2,,,စနစ်တက ထာ်းရှိ ခ င််း (Seiri),,,ミャンマー語
3,,,စ သတ်မ တ်ထာ်းရှိ ခ င််း (Sei-ton),,,ミャンマー語
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,,ミャンマー語
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
4,,,သန်ဲ့ရ င််းသရ်းလုပ်ခ င််း (Sei-sou),,,ミャンマー語
5,,,သန်ဲ့ရ င််းသပ်ရပ်မှု (Sei-ketsu),,,ミャンマー語
6,,,အစဉ်အလာဓသလဲ့ထု ်းစ (Shi-tsuke),,,ミャンマー語
7,,,သန်ဲ့ရ င််းသရ်း(လုပ်သည်),,,ミャンマー語
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,,ミャンマー語
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
8,,,သှိမ််းဆည််းသည်,,,ミャンマー語
9,,,စွန်ဲ့ပစ်သည်,,,ミャンマー語
10,,,ညစ်ပတ်သသာ,,,ミャンマー語
11,,,ညစ်သပသည်,,,ミャンマー語
12,,,အမှိ ြုံ်းအစာ်း ွ ခ ာ်း(သည်),,,ミャンマー語
13,,,မ ်းရှုှိွဲ့လှိုဲ့မရတဲ့ အမှိှုက်,,,ミャンマー語
14,,,မ ်းရှုှိွဲ့လုှိဲ့ရတဲ့ အမှိှုက်,,,ミャンマー語
15,,,ညပ်သည်,,,ミャンマー語
16,,,ညပ်ပါသည်,,,ミャンマー語
17,,,အပူသလာင်(သည်),,,ミャンマー語
18,,,က ဆင််းသည်,,,ミャンマー語
19,,,သ  ာ်လ သည်,,,ミャンマー語
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,,ミャンマー語
အခန ်း ၅ 5S ခဘ်းကင ်းလံို ခံျုခရ်း ၁,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
20,,,လ က သည်,,,ミャンマー語
21,,,သရစှိုသည်,,,ミャンマー語
22,,,သန်ဲ့ရ င််းသပ်ရပ်မှု,,,ミャンマー語
23,,,သေ်းသရ ာင်(သည်),,,ミャンマー語
24,,,လူနာတင်ယာဉ်,,,ミャンマー語
25,,,သေ်းအန္တရာယ်,,,ミャンマー語
26,,,ငလ င်,,,ミャンマー語
27,,,သအာက်သှိုဲ့ဝင်သည်,,,ミャンマー語
"だい   か    あんぜんえいせい     にちじょうぎょうむ
第7課安全衛生2、日常業務",,,,,,ミャンマー語
အခန ်း ၇ ခဘ်းကင ်းလိုံ ခံျုခရ်း ၂၊ ခန့်စဉ်လိုြ ငန ်း,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,မ ်းသတှိခပြုံ,,,ミャンマー語
2,,,ဖွင်ဲ့မထာ်းရ,,,ミャンマー語
3,,,အမ တ်အသာ်း,,,ミャンマー語
4,,,ဂရုစှိုက်သည်,,,ミャンマー語
5,,,ယူလာသည်,,,ミャンマー語
6,,,ကာကွယ်သည်။,,,ミャンマー語
7,,,မ ်း,,,ミャンマー語
8,,,မ ်း ုှိ်း,,,ミャンマー語
9,,,မ ်းပင မ််းသတ်ခ င််း,,,ミャンマー語
10,,,မ ်းသတ်ေူ်း,,,ミャンマー語
11,,,အသရ်းသပေါ်သတှိသပ်းစက်,,,ミャンマー語
12,,,မ ်းအ  က်သပ်းစက်,,,ミャンマー語
13,,,ထွက်သခပ်းသည်,,,ミャンマー語
14,,,လုပ်ငန််း ွင်,,,ミャンマー語
15,,,အလုပ်,,,ミャンマー語
"だい   か    あんぜんえいせい     にちじょうぎょうむ
第7課安全衛生2、日常業務",,,,,,ミャンマー語
အခန ်း ၇ ခဘ်းကင ်းလံို ခံျုခရ်း ၂၊ ခန့်စဉ်လိုြ ငန ်း,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
16,,,အစည််းအသဝ်း,,,ミャンマー語
17,,,သင်တန််း(ခပြုံလုပ်သည်),,,ミャンマー語
18,,,လက်သတွွဲ့သင်တန််း(ခပြုံလုပ် သည်),,,ミャンマー語
19,,,န္ှုတ်ဆက်ခ င််း,,,ミャンマー語
20,,,သသ  ာစစ်(သည်),,,ミャンマー語
21,,,အသကကာင််းကကာ်း(သည်),,,ミャンマー語
22,,,အသကကာင််းကကာ်း(သည်),,,ミャンマー語
23,,,သဆွ်းသန္ွ်း(သည်),,,ミャンマー語
24,,,သပ်းသည်,,,ミャンマー語
25,,,သလျှာက်လ ာ,,,ミャンマー語
26,,,အှိပ်ရာထသနာက်က (သည်),,,ミャンマー語
"だい    か   ぎ の うじっしゅう
第8課技能実習",,,,,,ミャンマー語
သင ခန ်းစာ ၈။ နည ်းြညာဆို င ရာလက ခတွွေ့သင ကကာ်းမှု,,,,,,ミャンマー語
No.,,,,,,ミャンマー語
1,,,,,,ミャンマー語
2,,,,,,ミャンマー語
3,,,,,,ミャンマー語
4,,,,,,ミャンマー語
5,,,,,,ミャンマー語
6,,,,,,ミャンマー語
7,,,,,,ミャンマー語
8,,,,,,ミャンマー語
9,,,,,,ミャンマー語
10,,,,,,ミャンマー語
11,,,,,,ミャンマー語
12,,,,,,ミャンマー語
13,,,,,,ミャンマー語
14,,,,,,ミャンマー語
15,,,,,,ミャンマー語
16,,,,,,ミャンマー語
17,,,,,,ミャンマー語
18,,,,,,ミャンマー語
19,,,,,,ミャンマー語
20,,,,,,ミャンマー語
"建設関連職種    Copyright © Organization for Technical Intern Training, All Rights reserved.",,,,,,ミャンマー語
"だい    か   あんぜんえいせい      けんこうか ん り
第9課安全衛生3・健康管理",,,,,,ミャンマー語
သင ခန ်းစာ ၉။ လိုံ ခံျုစ တ ချမှု၊သန ရှ့် င ်းခရ်း၃။ကျန ်းမာခရ်းစီမံခန ခွွဲ့် မှု,,,,,,ミャンマー語
No.,,,,,,ミャンマー語
1,,,,,,ミャンマー語
2,,,,,,ミャンマー語
3,,,,,,ミャンマー語
4,,,,,,ミャンマー語
5,,,,,,ミャンマー語
6,,,,,,ミャンマー語
7,,,,,,ミャンマー語
8,,,,,,ミャンマー語
9,,,,,,ミャンマー語
10,,,,,,ミャンマー語
11,,,,,,ミャンマー語
12,,,,,,ミャンマー語
13,,,,,,ミャンマー語
14,,,,,,ミャンマー語
15,,,,,,ミャンマー語
16,,,,,,ミャンマー語
17,,,,,,ミャンマー語
18,,,,,,ミャンマー語
19,,,,,,ミャンマー語
"だい    か   あんぜんえいせい      けんこうか ん り
第9課安全衛生3・健康管理",,,,,,ミャンマー語
သင ခန ်းစာ ၉။ လံို ခံျုစ တ ချမှု၊သန ရှ့် င ်းခရ်း၃။ကျန ်းမာခရ်းစီမံခန ခွွဲ့် မှု,,,,,,ミャンマー語
No.,,,,,,ミャンマー語
20,,,,,,ミャンマー語
21,,,,,,ミャンマー語
22,,,,,,ミャンマー語
23,,,,,,ミャンマー語
24,,,,,,ミャンマー語
"だい       か         かつどう
第10課 KY活動",,,,,,ミャンマー語
သင ခန ်းစာ ၁၀။ KY လှုြ ရှာ်းမှု,,,,,,ミャンマー語
No.,,,ဘာသာ ြန ဆို  ခင ်း,,,ミャンマー語
1,,,"KY လှုပ်ရ ာ်းမှု
(အန္တရာယ်ကကှိြုံတင် န်ဲ့မ န််းသှိရှိ သရ်းလှုပ်ရ ာ်းမှု )",,,ミャンマー語
2,,,အန္တရာယ်,,,ミャンマー語
3,,,တှိုက်မှိသည်,,,ミャンマー語
4,,,ထှိမှိသည်,,,ミャンマー語
5,,,သအာက်တွင်ပှိမှိသည်,,,ミャンマー語
6,,,ထုသည်၊ရုှိက်သည်,,,ミャンマー語
7,,,ဟန်  က်ပ က်သည်,,,ミャンマー語
8,,,လ က သည်,,,ミャンマー語
9,,,လှိမ်ဲ့က သည်,,,ミャンマー語
10,,,လက်ညှိြှြုံ်းထုှိ်း၍နာမည်သ ေါ် စစ်သဆ်းမှု,,,ミャンマー語
