"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 6,Unnamed: 9,Unnamed: 15,Unnamed: 23,Unnamed: 28
10,固定（する）,こてい（する）,(danh từ) Sự cố định,,,
,,,(động từ) Cố định,,,
11,ゆるめる,ゆるめる,Nới lỏng,,ボルトをゆるめる,Nới lỏng bu lông
12,伸ばす,のばす,"Cán, kéo dài",,,
13,外す,はずす,"Tháo, gỡ ra",,"あ ん ぜん                             は ず
安全カバーを外す",Tháo vỏ bọc an toàn
14,曲げる,まげる,Uốn,,"て っ き ん          ま
鉄筋を曲げる",Uốn thanh cốt thép
15,出す,だす,Lấy ra,,,
16,乾かす,かわかす,"Làm khô, sấy khô",,,
17,数える,かぞえる,"Chỉ bảo, dạy",,,
18,運ぶ,はこぶ,Vận chuyển,,,
19,積む,つむ,"Xếp, chất",,"ざいりょう                                                               つ
材料をくずれないように積む",Xếp vật liêu sao cho không đổ
20,下ろす,おろす,"Dỡ xuống, hạ xuống",,"に  だ  い                に  も  つ          お
トラックの荷台から荷物を下ろす",Dỡ hàng từ thùng xe tải xuống
21,離れる,はなれる,"Rời xa, tránh",,,
Số,Từ vựng,Cách đọc (Hiragana),,,,
1,位置,いち,,,,
2,寸法,すんぽう,,,,
3,測定（する）,そくてい（する）,,,,
,,,,,,
4,計測（する）,けいそく（する）,,,,
,,,,,,
5,計測器,けいそくき,,,,
6,温度,おんど,,,,
7,高さ,たかさ,,,,
8,長さ,ながさ,,,,
9,重さ,おもさ,,,,
10,厚さ,あつさ,,,,
11,硬さ,かたさ,,,,
12,深さ,ふかさ,,,,
13,表面,ひょうめん,,,,
14,すきま,すきま,,,,
15,中心,ちゅうしん,,,,
Số,Từ vựng,Cách đọc (Hiragana),,,,
16,値,あたい,,,,
17,安定（する）,あんてい（する）,,,,
,,,,,,
18,大きさ,おおきさ,,,,
19,数,かず,,,,
20,誤差,ごさ,,,,
21,中,なか,,,,
22,反対,はんたい,,,,
23,周り,まわり,,,,
24,尺,しゃく,,,,
25,青,あお,,,,
26,赤,あか,,,,
27,白,しろ,,,,
28,黄色,きいろ,,,,
"げんば                          こと             ひょうげん
１． 現場によって異なる表現
にほん                    ちほう                               おな      いみ                   こと             ひょうげん                                                               ほうげん           い                        たと             した                        れい                                              ぎもん           おも
日本では、地方によって、同じ意味でも異なる表現をすることがあります。「方言」と言います。例えば下のような例がありますので、疑問に思うことがあった
いっしょ         はたら  ひと       たず
ら、一緒に働く人に尋ねてみましょう。
1. Các cách diễn đạt khác nhau tùy theo địa điểm
Tại Nhật Bản, có sự khác nhau  trong cách diễn đạt để chỉ cùng một sự vật sự việc tùy theo địa phương. Các cách diễn đạt này gọi là ""Phương ngữ"". Cụ thể như một số ví dụ dưới đây. Nếu có điều gì thắc mắc, bạn hãy hỏi đồng nghiệp.",,,,,,
Số,Từ vựng,Cách đọc (Hiragana),,,,
1,片づける,かたづける,,,,
2,捨てる,すてる,,,,
3,掃く,はく,,,,
4,持ち上げる,もちあげる,,,,
5,束ねる,たばねる,,,,
6,足をくじく,あしをくじく,,,,
"げんば                          こと             ひょうげん
2． 現場によって異なる表現
けんせつげんば           つか     どうぐ               ちほう        ねんだい       かいしゃ                            おな                              ちが     よ          かた                                                            たと             した                        れい                                 みな                  げんば          つか     ひょ
建設現場で使う道具は、地方、年代や会社によって、同じものでも違う呼び方をすることがあります。例えば下のような例があります。皆さんの現場で使う表
うげん                          おぼ                           べんり
現をメモして覚えておくと便利です。
2. Các cách diễn đạt khác nhau tùy theo địa điểm
Trong các đồ nghề dùng tại công trường, có những thứ được gọi bằng tên khác nhau tùy theo địa phương, công ty và lứa tuổi người nó
i. Ví dụ như dưới đây. Sẽ có ích nếu bạn ghi chép lại và ghi nhớ cách nói tại nơi mình làm việc.",,,,,,
Số,Từ vựng,Cách đọc (Hiragana),,,,
1,一輪車,いちりんしゃ,,,,
2,支柱,しちゅう,,,,
3,ショベル,しょべる,,,,
4,かけや,かけや,,,,
"けんせつげんば         どくとく          ひょうげん
3． 建設現場の独特な表現
けんせつげんば           いちばんたいせつ                    あんぜん                                            きけん           とき                                    きけん                                                   こうどう                         とき           おおごえ        こえ                                              きび          ど  な
建設現場で一番大切なのは安全です。そのため、危険な時や、あなたが危険につながりそうな行動をとった時は、大声で声をかけられたり、厳しく怒鳴られ
いっしょ         はたら  ひと                   あんぜん       まも                          ことば                                                                                                        けっ                                    ばとう
ることがあります。それらはあなたや、あなたと一緒に働く人たちの安全を守るための言葉です。びっくりするかもしれませんが、決してあなたを罵倒するため
ことば                                                  あんぜん       こころがけ              じこ              お                                     ちゅうい                               ひじょうじたい                   きんきゅうせい       たか       ばあい             とく        ひょうげん      みじ     つよ                                  おお
の言葉ではありません。安全に心掛けて、事故を起こさないよう注意しましょう。非常事態など緊急性が高い場合は、特に表現が短く強くなる                                                                                                                               ことが多いで
す。
3. Cách diễn đạt đặc trưng ở công trường
Ở công trường, điều quan trọng nhất là an toàn. Vì vậy, trong trường hợp nguy hiểm hoặc khi bạn có hành động có thể dẫn tới nguy
hiểm, có những khi bạn bị người khác lớn tiếng nhắc nhở hoặc bị mắng gay gắt. Mục đích nói như vậy là để bảo vệ sự an toàn của bạn và những người cùng làm việc với bạn. Có thể bạn bị sốc, nhưng đó hoàn toàn không phải là nhằm lăng mạ bạn. Hãy luôn chú ý đảm bảo an toàn và không để xảy ra tai nạn. Người Nhật thường sử dụng cách diễn đạt ngắn gọn và mạnh mẽ trong các trường hợp khẩn cấp.",,,,,,
表現,,,,,,
ぼんやりするな！ケガするぞ。,,,,,,
"あぶ
ばかやろう！危ない！",,,,,,
"なに                                        あぶ                           もど
何やってんだ。危ないぞ。戻れ！",,,,,,
"もど
いいから、戻ってこい！",,,,,,
"かって              なか         はい
勝手に中に入るな！",,,,,,
"しつもん     かくにん
4．質問・確認することの大切さ
さぎょう         まえ       かなら    しつもん                かくにん                                                                                さぎょう                       じこ               お               かのうせい            たか                                         きけん                    に
わからないことがあったら、作業の前に必ず質問して、確認してください。わからないまま作業すると、事故が起きる可能性が高くなって、と                                                                                                                               ても危険です。日
ほん       しょくば                あんぜん       かん            しつもん                                   は                                                                                   せっきょくてき        しつもん                あんぜん       さぎょう
本の職場では安全に関する質問をすることは恥ずかしいことではありません。積極的に質問して、安全に作業しましょう。
4. Tầm quan trọng của việc đặt câu hỏi và kiểm tra lại
Nếu có điều gì không hiểu, bạn hãy nhớ đặt câu hỏi cũng như kiểm tra trước khi bắt đầu làm việc. Nếu bạn cứ làm trong khi chưa hiểu rõ thì khả năng xảy ra tai nạn sẽ tăng lên, rất nguy hiểm. Tại các nơi làm việc ở Nhật Bản, đặt câu hỏi về an toàn không có gì đáng xấu hổ. Bạn hãy tích cực đặt câu hỏi và làm việc an toàn.",,,,,,
Cách nói,,,,,,
どうしてですか。,,,,,,
これでいいですか。,,,,,,
"いちど              ねが
すみません。もう一度お願いします。",,,,,,
"つか                                             いちど       おし
これはどうやって使いますか。もう一度教えてください。",,,,,,
"まる
すみません。「丸のこ」ってどれですか。",,,,,,
"いみ
「ケレンがけ」ってどういう意味ですか。",,,,,,
